,context,n_concepts,mean_tfidf,mean_diff,evidence
0,birds,29,0.04,0.04,-
1,bird,28,0.05,0.04,-
2,nest,23,0.05,0.05,-
3,wildlife,22,0.01,0.01,-
4,wings,20,0.01,0.01,-
5,population,20,0.01,0.01,-
6,duck,18,0.04,0.03,-
7,tailed,17,0.02,0.02,-
8,breeding,17,0.02,0.02,-
9,habitat,17,0.06,0.05,-
10,species,17,0.05,0.04,-
11,wild,17,0.02,0.02,-
12,pigeon,16,0.02,0.01,-
13,eggs,16,0.04,0.04,-
14,fox,16,0.01,0.01,-
15,managing,16,0.01,0.01,-
16,refuge,16,0.01,0.0,-
17,rare,16,0.02,0.01,-
18,hawk,15,0.02,0.02,-
19,stuffed,15,0.02,0.01,-
20,wings,20,0.01,0.01,-
21,wing,9,0.03,0.02,-
