,context,n_concepts,mean_tfidf,mean_diff,evidence
0,built,31,0.03,0.02,-
1,installed,29,0.01,0.01,-
2,separate,29,0.01,0.01,-
3,floor,26,0.05,0.04,-
4,rooms,26,0.06,0.06,-
5,office,26,0.04,0.03,-
6,look,26,0.01,0.01,-
7,provided,26,0.01,0.01,-
8,layout,25,0.01,0.01,-
9,in,25,0.07,0.04,-
10,shelf,25,0.02,0.02,-
11,tables,24,0.01,0.01,-
12,boards,24,0.01,0.01,-
13,board,24,0.01,0.01,-
14,provides,24,0.01,0.01,-
15,taken,24,0.01,0.0,-
16,desk,24,0.04,0.04,-
17,kitchen,23,0.1,0.1,-
18,boxes,23,0.01,0.01,-
19,includes,23,0.01,0.01,-
20,square,15,0.01,0.01,-
