,food,fish,communication,plant,fruit,no-cat,all,mammal,relation,juicy,object,vegetable,measure,animal,mean
gooseberry,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
guava,0.042370711562324005,0.0,0.0,0.04224445659756535,0.04139040499956527,0.0,0.044072077039356075,0.0,0.0,0.0,0.04406863043423823,0.0,0.0,0.0,0.015296162902360638
elderberry,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
veg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scallop,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
strawberry,0.0028141346158587436,0.0,0.0,0.002229291342803117,0.0035971293979763065,0.0,0.002950554606475709,0.0,0.0,0.0,0.0026961548292878737,0.0,0.0,0.0,0.0010205189137429823
cucumber,0.007412206201438462,0.0,0.0,0.007481114428303195,0.0,0.0,0.007408656522334621,0.0,0.0,0.0,0.007409898341254092,0.008468683052163155,0.0,0.0,0.0027271827532495373
lemon,0.0018121425938515932,0.0,0.0,0.001906610759879803,0.001583019263103167,0.0,0.0018063352634314347,0.0,0.0,0.0,0.001770308115422559,0.0,0.0,0.0,0.0006341725711206112
pork,0.00042576253872881063,0.0,0.0,0.0,0.0,0.0,0.0004201401243991483,0.0,0.0,0.0,0.0,0.0,0.00046958464141263903,0.0,9.3963378895757e-05
bacon,0.00040317669334241364,0.0,0.0,0.0,0.0,0.0,0.00040914882157092514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.802325106523848e-05
citron,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tamarind,0.020899570730101593,0.0,0.0,0.020495380579253018,0.02030076265888845,0.0,0.021421291394773476,0.0,0.0,0.0,0.021193180853739616,0.0,0.0,0.0,0.007450727586911154
burger,0.0007042050169095478,0.0,0.0,0.0,0.0,0.0,0.0006923857256518604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.975648161152917e-05
pie,0.0003553267479006687,0.0,0.0,0.0,0.0,0.0,0.0003633260233444711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.133234080322427e-05
berry,0.01232477614035448,0.0,0.0,0.0,0.01846452011352656,0.0,0.013369175720818293,0.0,0.0,0.0,0.013927225488957015,0.0,0.0,0.0,0.004148978390261167
shallot,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
