relation,prop-specific,n_pairs
pos,0.3426986932754517,1766
neg,0.23586051166057587,1186
all,0.36028777007900536,1021
some,0.2947123125195503,745
few,0.23586051166057587,1186
evidence,0.34416268434789454,1686
no_evidence_pos,0.27924173573652905,242
no_evidence_neg,0.2193140983581543,1024
implied_category,0.31798452051977316,16
typical_of_concept,0.3948677360183663,4
affording_activity,0.3893729671835899,4
afforded_usual,,3
afforded_unusual,0.1962946318089962,20
variability_limited,0.4060350840999967,111
variability_open,0.24942477544148764,77
variability_limited_scalar,0.5242801308631897,1
variability_open_scalar,0.2306701837728421,95
rare,0.4501940459012985,19
unusual,0.4717740838726362,81
impossible,0.3646293481190999,307
creative,,23
