relation,non-specific,n_pairs
pos,12.0,1766
neg,4.0,1186
all,11.5,1021
some,13.0,745
few,4.0,1186
evidence,11.0,1054
no_evidence_pos,15.5,342
no_evidence_neg,4.0,1082
implied_category,6.875,16
typical_of_concept,10.25,4
affording_activity,10.791666666666668,4
afforded_usual,5.0,3
afforded_unusual,29.5,20
variability_limited,10.666666666666666,111
variability_open,20.0,77
variability_limited_scalar,5.0,1
variability_open_scalar,10.333333333333334,95
rare,4.2,19
unusual,7.0,81
impossible,3.0,307
creative,2.4,23
