relation,p,n_pairs
pos,0.0015614411409960627,1766
neg,0.0,1186
all,0.00199838226010101,1021
some,0.0011920054457264042,745
few,0.0,1186
evidence,0.002003320784678537,1054
no_evidence_pos,0.0008890979212391721,342
no_evidence_neg,0.0,1082
implied_category,0.0,16
typical_of_concept,0.03187045258354915,4
affording_activity,0.033827319587628864,4
afforded_usual,0.0,3
afforded_unusual,0.0004986263891926888,20
variability_limited,0.001906908376930785,111
variability_open,0.0003679175864606328,77
variability_limited_scalar,0.0,1
variability_open_scalar,0.0,95
rare,0.0,19
unusual,0.0,81
impossible,0.0,307
creative,0.0,23
