,context,n_concepts,mean_tfidf,mean_diff,evidence
0,family,16,0.1,0.1,-
1,genus,16,0.03,0.03,-
2,bird,13,0.09,0.09,-
3,endemic,13,0.06,0.05,-
4,order,11,0.02,0.02,-
5,belong,11,0.01,0.01,-
6,belonging,11,0.03,0.03,-
7,genera,10,0.02,0.02,-
8,species,9,0.07,0.05,-
9,placed,8,0.04,0.03,-
10,sp,8,0.01,0.01,-
11,widespread,7,0.01,0.01,-
12,families,7,0.02,0.02,-
13,habitats,7,0.02,0.02,-
14,closely,7,0.01,0.01,-
15,passerine,6,0.11,0.11,-
16,birds,6,0.02,0.01,-
17,formerly,6,0.01,0.01,-
18,related,6,0.01,0.01,-
19,fish,6,0.16,0.16,-
20,eggs,3,0.02,0.02,-
