,relation,object,cold,food,all,measure,communication,mean,median
lemonade,0.07130887321742256,0.0,0.0,0.11603801873763185,0.07674478011043442,0.0,0.0,0.03772738172364126,0.01886369086182063
rain,0.0015447573610034798,0.0,0.0,0.0,0.0016968230848668291,0.0,0.0,0.00046308292083861556,0.0
soup,0.009053948514051696,0.0,0.0,0.013948769385730808,0.00977192495812892,0.0,0.0,0.004682091836844489,0.0023410459184222444
juice,0.015895088435733534,0.0,0.0,0.019870199691123375,0.017980814486646884,0.0,0.0,0.00767801465907197,0.003839007329535985
tea,0.0035927780284029094,0.004546821492421415,0.0,0.005352577001848418,0.003980763434194318,0.0,0.0,0.002496134279552437,0.003044456153977673
vapor,0.008708032478900427,0.0,0.0,0.0,0.008965834815930562,0.0,0.0,0.0025248381849758555,0.0
foam,0.0018965214472039436,0.0,0.0,0.0,0.0019323094202841663,0.0,0.0,0.0005469758382125871,0.0
skin,0.0018564701316227431,0.00239987737268929,0.0,0.0,0.002094250612260036,0.0,0.0,0.0009072283023674384,0.0004536141511837192
water,0.00954806106285406,0.01167052590509038,0.0,0.012116356639240813,0.010382370948049334,0.0,0.0,0.006245330650747798,0.00789669585680093
soda,0.0004642246065392956,0.0,0.0,0.0005964009541340108,0.0005323695766663531,0.0,0.0,0.00022757073390566564,0.00011378536695283282
drink,0.008165956326229545,0.0,0.0,0.009355560038390496,0.008757964764797021,0.007835371083091926,0.0,0.004873550316072713,0.00635446069958232
dogwood,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rock,0.0017350643586069526,0.0022730756149679865,0.0,0.002202807722557073,0.0020401719065651783,0.0,0.0020882801978936005,0.0014770571143701131,0.0018876181325860656
beer,0.0017736551292827573,0.0,0.0,0.0023545496320786265,0.0018808546394515112,0.0,0.0,0.000858437057258985,0.0004292185286294925
mud,0.007134764508950374,0.0,0.0,0.0,0.007467755393566183,0.0,0.007791908073361777,0.0031992039965540475,0.0015996019982770237
milk,0.0077258023326356624,0.0,0.0,0.010795155161080578,0.008348931382709791,0.0,0.0,0.0038385555537751473,0.0019192777768875736
coffee,0.004775964672117874,0.005918895142660549,0.0,0.00630222096321679,0.005015522491185247,0.0,0.0,0.003144657609882923,0.003960311141000398
sawdust,0.007702945093114521,0.0,0.0,0.0,0.007423788223683247,0.0,0.0,0.0021609619023996813,0.0
smoke,0.0007407828177542733,0.0,0.0,0.0,0.0007207571178090623,0.0,0.0009564733987399422,0.0003454304763290397,0.00017271523816451986
steam,0.0035764625077803463,0.0,0.0,0.0,0.0034764573449636658,0.0,0.0,0.0010075599789634304,0.0
dust,0.006809913814148089,0.0,0.0,0.0,0.006457461028638204,0.0,0.0,0.0018953392632551848,0.0
lava,0.003664226296618862,0.0,0.0,0.0,0.0034837659495220003,0.0,0.0,0.0010211417494486944,0.0
fire,0.00012053327674174681,0.0001001886735934708,0.0,0.0,0.0001029322920174054,0.0,0.00015303861669852014,6.809897986444903e-05,8.414382672895992e-05
glass,0.0,0.0029981914701728207,0.0,0.0,0.0025727031714456,0.002463331386752787,0.0,0.001147746575481601,0.0005738732877408005
cream,0.0,0.015563612138104761,0.0,0.019055015695001332,0.01422516555991882,0.0,0.0,0.006977684770432131,0.0034888423852160655
toilet,0.0,0.0005730853824880071,0.0,0.0,0.00048124210297733033,0.0,0.0,0.00015061821220933394,0.0
berry,0.0,0.0011848290553528793,0.0,0.0019703250972973965,0.0009480692125114837,0.0,0.0,0.0005861747664516799,0.00029308738322583993
casserole,0.0,0.006712152310661782,0.0,0.008440350792740565,0.005843324233171088,0.0,0.0,0.002999403905224776,0.001499701952612388
eggshell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shelf,0.0,0.007435499329057114,0.0,0.0,0.006048783268721332,0.0,0.0,0.0019263260853969208,0.0
snowdrift,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oven,0.0,0.0027242886961842453,0.0,0.0,0.002256255686893678,0.0,0.0,0.0007115063404397033,0.0
freezer,0.0,0.1330027158776198,0.0,0.0,0.11301704436576918,0.0,0.0,0.03514568003476985,0.0
balloon,0.0,0.0024749033541947955,0.0,0.0,0.0021542949401526412,0.0,0.0,0.0006613140420496337,0.0
toe,0.0,0.00022940459582722922,0.0,0.0,0.00020002952435506727,0.0,0.0,6.134773145461378e-05,0.0
