,context,n_concepts,mean_tfidf,mean_diff,evidence
0,chopped,11,0.09,0.08,-
1,crunchy,11,0.01,0.01,-
2,edible,11,0.01,0.01,-
3,inch,11,0.02,0.01,-
4,citrus,11,0.02,0.01,-
5,strips,11,0.01,0.01,-
6,vegetables,11,0.05,0.04,-
7,dried,11,0.01,0.01,-
8,toss,11,0.03,0.03,-
9,cauliflower,11,0.07,0.07,-
10,onion,11,0.09,0.08,-
11,green,11,0.03,0.02,-
12,water,10,0.01,0.01,-
13,chives,10,0.01,0.01,-
14,seedlings,10,0.01,0.01,-
15,plants,10,0.02,0.01,-
16,sprinkle,10,0.01,0.01,-
17,chop,10,0.01,0.01,-
18,cut,10,0.02,0.01,-
19,add,10,0.04,0.03,-
20,green,11,0.03,0.02,-
