,food,fish,communication,plant,fruit,no-cat,all,mammal,relation,juicy,object,vegetable,measure,animal,mean
gooseberry,0.13272758668963744,0.0,0.0,0.12060839621259217,0.14212146257068,0.0,0.12969809616413971,0.0,0.0,0.0,0.13042368885321565,0.0,0.0,0.0,0.046827087892161785
guava,0.21201376599491872,0.0,0.0,0.22649948895382302,0.20558811427695317,0.0,0.2167984063828247,0.0,0.0,0.0,0.21507477186569265,0.0,0.0,0.0,0.07685532481958658
elderberry,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
veg,0.10885789802586279,0.0,0.0,0.0,0.0,0.0,0.10445254274508273,0.0,0.0,0.0,0.0,0.12313760103175632,0.0,0.0,0.024032002985907273
scallop,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
strawberry,0.010324040035853566,0.0,0.0,0.008763363706981551,0.013099686329030101,0.0,0.010641497132168663,0.0,0.0,0.0,0.009647421518375075,0.0,0.0,0.0,0.0037482863373149255
cucumber,0.007243956513683474,0.0,0.0,0.007834185218138745,0.0,0.0,0.00711806691952077,0.0,0.0,0.0,0.007063211420484058,0.007616904101878173,0.0,0.0,0.0026340231552646584
lemon,0.007341636332515199,0.0,0.0,0.008276786154564704,0.006366294476747867,0.0,0.007194375871372749,0.0,0.0,0.0,0.006995374571077338,0.0,0.0,0.0,0.0025838905290198467
pork,0.00449386006060802,0.0,0.0,0.0,0.0,0.0,0.004359538538459662,0.0,0.0,0.0,0.0,0.0,0.00492310392036464,0.0,0.0009840358942451658
bacon,0.006304399752584006,0.0,0.0,0.0,0.0,0.0,0.006289612554082163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008995723076190121
citron,0.004945967581780062,0.0,0.0,0.004675964006460368,0.005693403001604251,0.0,0.00487658621841047,0.0,0.0,0.0,0.004997883770714226,0.0,0.0,0.0,0.00179927175564067
tamarind,0.0871473976319775,0.0,0.0,0.09157401153911512,0.08402904637497303,0.0,0.0878126270461804,0.0,0.0,0.0,0.08619355938514099,0.0,0.0,0.0,0.031196902998384794
burger,0.0008258643184892274,0.0,0.0,0.0,0.0,0.0,0.0007982739512007234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011600987640642505
pie,0.02083567110781262,0.0,0.0,0.0,0.0,0.0,0.020944517592139784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002984299192853743
berry,0.015295258431540953,0.0,0.0,0.0,0.022746565330564884,0.0,0.016310853053523845,0.0,0.0,0.0,0.016857920478351992,0.0,0.0,0.0,0.005086471235284405
shallot,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
currant,0.0763553885355993,0.0,0.0,0.08044353341756035,0.07055611448323298,0.0,0.07455052972958814,0.0,0.0,0.0,0.07469507917475697,0.0,0.0,0.0,0.02690004609576698
ham,0.0024422223414791214,0.0,0.0,0.0,0.0,0.0,0.0024526230155388564,0.0,0.0,0.0,0.002374584002807707,0.0,0.0,0.0,0.0005192449542732633
juice,0.11216940652380537,0.0,0.0,0.0,0.0,0.0,0.11264183330910564,0.0,0.12755830650169342,0.0,0.0,0.0,0.0,0.0,0.025169253309614604
morello,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sorbet,0.174280479827318,0.0,0.0,0.0,0.0,0.0,0.17545953950733728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024981429952475376
