,context,n_concepts,mean_tfidf,mean_diff,evidence
0,bird,7,0.06,0.05,-
1,parrot,7,0.16,0.15,-
2,feathers,6,0.05,0.05,-
3,sounds,6,0.0,0.0,-
4,painting,6,0.0,0.0,-
5,loud,6,0.0,0.0,-
6,colourful,6,0.01,0.01,-
7,pheasant,6,0.01,0.01,-
8,pigeon,6,0.02,0.02,-
9,kite,6,0.01,0.01,-
10,capped,6,0.01,0.01,-
11,birds,6,0.03,0.03,-
12,jay,6,0.0,0.0,-
13,grey,6,0.03,0.03,-
14,rainbow,6,0.01,0.01,-
15,heron,6,0.02,0.02,-
16,black,6,0.03,0.01,-
17,supposed,6,0.0,0.0,-
18,tailed,6,0.04,0.03,-
19,hanging,6,0.02,0.02,-
20,blue,5,0.03,0.03,-
