,context,n_concepts,mean_tfidf,mean_diff,evidence
0,cherry,13,0.08,0.08,-
1,plum,13,0.04,0.04,-
2,wine,13,0.04,0.03,-
3,berry,12,0.02,0.02,-
4,vibrant,12,0.0,0.0,-
5,blackberry,12,0.04,0.04,-
6,punch,12,0.01,0.01,-
7,lemonade,12,0.01,0.01,-
8,peach,12,0.07,0.06,-
9,blueberry,12,0.03,0.02,-
10,flavors,12,0.1,0.08,-
11,juicy,11,0.01,0.01,-
12,popular,11,0.01,0.01,-
13,color,11,0.01,0.01,-
14,cranberry,11,0.03,0.02,-
15,intense,11,0.01,0.01,-
16,pear,11,0.03,0.03,-
17,planted,11,0.01,0.01,-
18,apple,11,0.03,0.02,-
19,shades,11,0.01,0.01,-
20,red,8,0.05,0.04,-
