,measure,relation,object,communication,cold,all,mean
glass,0.0008576875301774865,0.0,0.0007869414384051598,0.0,0.0,0.0008563696863444689,0.00041683310915451916
kettle,0.0043661710698422885,0.0,0.0040229134532208935,0.0,0.0,0.004221258291357877,0.0021017238024035097
finger,0.0,0.0,0.0,0.0,0.0,0.0,0.0
candle,0.029891998818762394,0.0,0.02778767154409443,0.0,0.0,0.03053862946837495,0.014703049971871962
nose,0.0005546097090024011,0.0,0.000518634655240456,0.0006383741894626329,0.0,0.0005737785881361155,0.00038089952364026757
drink,0.004217579904829509,0.004435565784426674,0.0,0.0,0.0,0.004487832836098152,0.0021901630875590557
mug,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bottle,0.004715906051788046,0.0,0.004190598764965847,0.0,0.0,0.004749279638976616,0.0022759640759550848
can,0.0031533329856961874,0.0,0.0029461467486697913,0.0032801257157688323,0.0,0.003413965809904298,0.002132261876673185
winter,0.0006812030343333806,0.0,0.0,0.0,0.0,0.0005747921635678805,0.0002093325329835435
hair,0.0010157371075130907,0.0,0.0009636389971138875,0.0,0.0,0.0010196191310183514,0.0004998325392742216
atmosphere,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heat,0.0015792536616297717,0.0,0.0015015551531499186,0.0,0.0,0.0013646529564571796,0.000740910295206145
foot,0.0008130195610244076,0.0,0.0007632781041064252,0.0007911483873067087,0.0,0.0007030080017251372,0.0005117423423604465
summertime,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bath,0.0012530610026360322,0.0,0.0011127500601219155,0.0,0.0,0.0010345178607550486,0.0005667214872521661
lemonade,0.0,0.014877338299505743,0.0,0.0,0.0,0.015648639566142316,0.00508766297760801
rain,0.0,0.0018379107937366236,0.0,0.0,0.0,0.0018105282166100114,0.0006080731683911058
soup,0.0,0.013364837712556558,0.0,0.0,0.0,0.012972940863079823,0.004389629762606063
juice,0.0,0.001436626929366087,0.0,0.0,0.0,0.0015106158076619303,0.0004912071228380029
tea,0.0,0.03000865527623916,0.0257413469395685,0.0,0.0,0.02913294609239067,0.014147158051366389
vapor,0.0,0.0,0.0,0.0,0.0,0.0,0.0
foam,0.0,0.01079785489789037,0.0,0.0,0.0,0.009981783672709636,0.0034632730951000014
skin,0.0,0.0018074085492258232,0.0016416532349956565,0.0,0.0,0.0018110159446329552,0.0008766796214757393
water,0.0,0.0010570368630171275,0.0009482795429161063,0.0,0.0,0.0010400147865552108,0.0005075551987480741
soda,0.0,0.004871041763343767,0.0,0.0,0.0,0.004548983892451319,0.0015700042759658479
dogwood,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rock,0.0,0.0023655349670222963,0.0020536892640557695,0.0023999691770825375,0.0,0.0023787521435906724,0.0015329909252918793
beer,0.0,0.007520647150354782,0.0,0.0,0.0,0.007113533562328775,0.0024390301187805926
mud,0.0,0.010456492591307707,0.0,0.009856702191796745,0.0,0.009051521737578488,0.004894119420113824
milk,0.0,0.006723060709437805,0.0,0.0,0.0,0.006644788364105128,0.002227974845590489
coffee,0.0,0.027588789237280954,0.024103656196060145,0.0,0.0,0.026568131945101707,0.0130434295630738
sawdust,0.0,0.0,0.0,0.0,0.0,0.0,0.0
smoke,0.0,0.0,0.0,0.0,0.0,0.0,0.0
steam,0.0,0.0009138045535720475,0.0,0.0,0.0,0.0009276281295571903,0.0003069054471882063
dust,0.0,0.005737294926161397,0.0,0.0,0.0,0.005733971969698548,0.0019118778159766577
lava,0.0,0.0017682655625982306,0.0,0.0,0.0,0.0018280592468726898,0.0005993874682451534
fire,0.0,0.000404038184181209,0.0004553241117438929,0.00045550760407455927,0.0,0.00041854371661372377,0.00028890226943556414
cream,0.0,0.0,0.038410360489834997,0.0,0.0,0.04423733900647136,0.013774616582717725
toilet,0.0,0.0,0.001970211077288784,0.0,0.0,0.0020623788721359755,0.0006720983249041265
berry,0.0,0.0,0.0009207891067061595,0.0,0.0,0.0009434441247140995,0.0003107055385700432
casserole,0.0,0.0,0.0107833295453987,0.0,0.0,0.011994044745436633,0.0037962290484725553
eggshell,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shelf,0.0,0.0,0.0,0.0,0.0,0.0,0.0
snowdrift,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oven,0.0,0.0,0.02236063035225966,0.0,0.0,0.024789919570793753,0.007858424987175568
freezer,0.0,0.0,0.0,0.0,0.0,0.0,0.0
balloon,0.0,0.0,0.0012761695243233187,0.0,0.0,0.0014582940193549239,0.00045574392394637377
toe,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fridge,0.0,0.0,0.027439708003136512,0.0,0.0,0.03164569493106098,0.009847567155699581
