,animal,fruit,plant,blue,vegetable,measure,relation,fish,object,bird,communication,vehicle,food,all,female,mean
mussel,0.015704760330188448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014368100848360878,0.0,0.0,0.0,0.012234695696680124,0.014656748138816584,0.0,0.003797620334269736
budgie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scorpion,0.0013985683402757962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011629813381909522,0.0,0.0,0.0,0.0,0.0011541426592396624,0.0,0.00024771282251376074
fish,0.006521257722373962,0.0,0.0,0.0,0.0,0.0,0.0,0.008665690476301537,0.005590612547710551,0.0,0.0,0.0,0.004837152393769407,0.005579232111001748,0.0,0.002079596350077147
parrotfish,0.013537932041228135,0.0,0.0,0.0,0.0,0.0,0.0,0.023545502876988138,0.011221439383486657,0.0,0.0,0.0,0.0,0.06444309002350702,0.0,0.007516530955013996
kingfisher,0.02639977267767277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023490387677979323,0.03599696765672923,0.0,0.0,0.0,0.02352157342821843,0.0,0.007293913429373316
insect,0.005514734248691592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004966200989807529,0.0,0.0,0.0,0.0,0.004960389995356251,0.0,0.0010294216822570247
frog,0.020039983344377538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016875833694649796,0.0,0.0,0.0,0.0,0.016844497556296856,0.0,0.0035840209730216128
bird,0.010479831665655104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009011548872727378,0.013456790569284121,0.011982118484296844,0.0,0.00733697155309449,0.008947446059968748,0.0122502809551238,0.004897665877343365
parakeet,0.021708974744242635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01817231578468426,0.02968695763666615,0.0,0.0,0.0,0.020314210836230504,0.0,0.005992163933454903
shark,0.0029726082011660247,0.0,0.0,0.0,0.0,0.0,0.0,0.003940765050339956,0.0025046746173858904,0.0,0.0,0.0,0.0,0.0025070787324608136,0.0,0.000795008440090179
peacock,0.009208742813224481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00853789299074257,0.014689664968224948,0.0,0.0,0.0,0.008708661780275252,0.0,0.002742997503497817
parrot,0.048198965810941144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03849971595337362,0.06279258150277765,0.0,0.0,0.0,0.04032941495181423,0.0,0.012654711881260442
