,animal,fruit,plant,blue,vegetable,measure,relation,fish,object,bird,communication,vehicle,food,all,female,mean
flame,0.0,0.0,0.0,0.008983252028849552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005819727091012867,0.0,0.0009868652746574946
sky,0.0,0.0,0.0,0.028878230147811622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02620125203389421,0.0,0.0036719654787803887
feeling,0.0,0.0,0.0,0.0024922830108694708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022577578816557666,0.0,0.0003166693928350158
coal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
thought,0.0,0.0,0.0,0.003670047908549534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034800137395841427,0.0,0.00047667077654224506
iceberg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
truffle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
glass,0.0,0.0,0.0,0.0,0.0,0.0043953234599586515,0.0,0.0,0.0033612999832232622,0.0,0.0,0.0,0.0,0.003476366220672597,0.0,0.0007488659775903007
night,0.0,0.0,0.0,0.0,0.0,0.002377458215750705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021385327753118202,0.0,0.00030106606607083495
pot,0.0,0.0,0.0,0.0,0.0,0.001152872811664908,0.0008556652849114996,0.0,0.0008635392194059987,0.0,0.0,0.0,0.0,0.0008481508674699523,0.0,0.0002480152122301572
blossom,0.0,0.0,0.0,0.0,0.0,0.0046759944852721586,0.0,0.0,0.003346551206342408,0.0,0.0,0.0,0.0,0.003296173814489655,0.0,0.0007545813004069482
tank,0.0,0.0,0.0,0.0,0.0,0.0013875192186472774,0.0,0.0,0.0013723001530361538,0.0,0.0,0.0016638092405705704,0.0,0.0013823165774585196,0.0,0.0003870630126475014
barn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hair,0.0,0.0,0.0,0.0,0.0,0.008876747686848227,0.0,0.0,0.009064370497684259,0.0,0.0,0.0,0.0,0.009037045150447221,0.0,0.0017985442223319805
feather,0.0,0.0,0.0,0.0,0.0,0.0,0.005274531742177147,0.0,0.005493976424880227,0.0,0.0,0.0,0.0,0.0054012531331994835,0.0,0.0010779840866837905
sandpaper,0.0,0.0,0.0,0.0,0.0,0.0,0.020529994849645305,0.0,0.0,0.0,0.0,0.0,0.0,0.02064461486344614,0.0,0.002744973980872763
water,0.0,0.0,0.0,0.0,0.0,0.0,0.00954507027120155,0.0,0.008795534073128783,0.0,0.0,0.0,0.007730213923636436,0.008765965113187776,0.0,0.0023224522254103033
plumage,0.0,0.0,0.0,0.0,0.0,0.0,0.062405790128764946,0.0,0.06372267836643251,0.0,0.0,0.0,0.0,0.06259800627011981,0.0,0.012581764984354486
paint,0.0,0.0,0.0,0.0,0.0,0.0,0.046557616831154426,0.0,0.04579217137520701,0.0,0.0,0.0,0.0,0.0452953222359656,0.0,0.009176340696155137
sapphire,0.0,0.0,0.0,0.0,0.0,0.0,0.005733726920079857,0.0,0.005624032217249112,0.0,0.0,0.0,0.0,0.005466846537344183,0.0,0.0011216403783115435
suit,0.0,0.0,0.0,0.0,0.0,0.0,0.0037217412235799625,0.0,0.0033793032749289517,0.0,0.0,0.0,0.0,0.0033426896796301354,0.0,0.0006962489452092699
