,context,n_concepts,mean_tfidf,mean_diff,evidence
0,varieties,20,0.04,0.04,-
1,garden,19,0.02,0.02,-
2,wild,19,0.03,0.02,-
3,red,18,0.03,0.02,-
4,cultivars,18,0.02,0.01,-
5,dwarf,18,0.01,0.0,-
6,name,17,0.01,0.01,-
7,blossom,17,0.04,0.04,-
8,included,17,0.0,0.0,-
9,cultivar,17,0.02,0.02,-
10,includes,17,0.01,0.0,-
11,roses,17,0.01,0.01,-
12,commonly,17,0.01,0.01,-
13,grape,17,0.05,0.05,-
14,cultivated,17,0.02,0.01,-
15,resemble,17,0.01,0.01,-
16,planting,16,0.01,0.01,-
17,held,16,0.01,0.0,-
18,formerly,16,0.0,0.0,-
19,local,16,0.01,0.0,-
20,red,18,0.03,0.02,-
