,weapon,animal,no-cat,tool,all,communication,relation,cutlery,object,food,measure,vehicle,mean
spear,0.01918175239140505,0.0,0.0,0.0,0.016035047886680025,0.0,0.0,0.0,0.016035047886680025,0.0,0.0,0.0,0.004270987347063758
rod,0.012195853656879793,0.0,0.0,0.0,0.010671422717412867,0.0,0.0,0.0,0.010671422717412867,0.0,0.014774424056319855,0.0,0.004026093595668781
shaft,0.03144463459192876,0.0,0.0,0.0,0.028490078779929474,0.034512178396339854,0.0,0.0,0.028490078779929474,0.0,0.0,0.0,0.010244747545677297
arrow,0.006984874641108037,0.0,0.0,0.0,0.006113569638976541,0.00693857096559471,0.0,0.0,0.006113569638976541,0.0,0.0,0.0,0.0021792154070546525
bow,0.00682502051604401,0.0,0.0,0.0,0.006434804141945016,0.007503545509026875,0.0,0.0,0.006434804141945016,0.0,0.0,0.0,0.0022665145257467433
knife,0.008642723035727603,0.0,0.0,0.00745987517487169,0.006303857226033548,0.0,0.0,0.00967598031805083,0.006303857226033548,0.0,0.0,0.0,0.0031988577483931017
blade,0.011826969928275479,0.0,0.0,0.009307737555560237,0.008683302185301148,0.0,0.0,0.0,0.008683302185301148,0.012222003449267077,0.0,0.0,0.004226942941975424
sword,0.02048490864847273,0.0,0.0,0.0,0.01381253409784275,0.0,0.0,0.0,0.01381253409784275,0.0,0.0,0.0,0.004009164737013186
cannon,0.008136863766263294,0.0,0.0,0.0,0.0054602533839764955,0.0,0.0,0.0,0.0054602533839764955,0.0,0.0,0.0,0.0015881142111846902
gun,0.001783041776756741,0.0,0.001404383073177783,0.0,0.0012584624839790798,0.0,0.0,0.0,0.0012584624839790798,0.0,0.0,0.0,0.00047536248482439033
drum,0.0,0.009578807502065087,0.009222053486788478,0.0,0.008791982709393655,0.0,0.0,0.0,0.008791982709393655,0.0,0.0,0.0,0.0030320688673034064
bass,0.0,0.0008531322827417465,0.0008701256302827442,0.0,0.0007959757445653836,0.0009818220891059562,0.0,0.0,0.0007959757445653836,0.0009949509651934207,0.0,0.0,0.00044099853803788617
rail,0.0,0.004383216076505935,0.0040575841023331675,0.0,0.0031940138193988226,0.0,0.0,0.0,0.0031940138193988226,0.0,0.0,0.0,0.0012357356514697288
pen,0.0,0.0005165347454063357,0.00044640652486071256,0.0,0.0003559793525072353,0.0,0.0,0.0,0.0003559793525072353,0.0,0.0,0.0,0.00013957499794012656
bamboo,0.0,0.0,0.03490040156271895,0.0,0.03035415550166999,0.0,0.03540945262537975,0.0,0.03035415550166999,0.0,0.0,0.0,0.010918180432619889
broom,0.0,0.0,0.0037503804055993924,0.0,0.0036896673339793314,0.0,0.0,0.0,0.0036896673339793314,0.0,0.0,0.0,0.0009274762561298379
pine,0.0,0.0,0.0031453297208253257,0.0,0.002303312262125399,0.0,0.003665659520139039,0.0,0.002303312262125399,0.0,0.0,0.0,0.0009514678137679303
oak,0.0,0.0,0.004423139900778629,0.0,0.003590040747948122,0.0,0.005091579952989219,0.0,0.003590040747948122,0.0,0.0,0.0,0.001391233445805341
fir,0.0,0.0,0.0032067804364662314,0.0,0.002327101310759548,0.0,0.0035973678196677306,0.0,0.002327101310759548,0.0,0.0,0.0,0.0009548625731377549
date,0.0,0.0,0.00406820201172261,0.0,0.0033946039508382596,0.0,0.0,0.0,0.0033946039508382596,0.00471187877893806,0.004558739758070295,0.0,0.0016773357042006234
rake,0.0,0.0,0.0,0.004352037185990869,0.0044010875118376145,0.0,0.005573913336435287,0.0,0.0044010875118376145,0.0,0.0,0.0,0.001560677128841782
toothpick,0.0,0.0,0.0,0.08213834540288474,0.08730661855418824,0.0,0.0,0.0,0.08730661855418824,0.0,0.0,0.0,0.02139596520927177
axe,0.0,0.0,0.0,0.010134507464493205,0.007557423407558084,0.0,0.0,0.012059172472103351,0.007557423407558084,0.0,0.0,0.0,0.003109043895976061
spade,0.0,0.0,0.0,0.022956476640771255,0.02087325721064599,0.0,0.028185474696907072,0.0,0.02087325721064599,0.0,0.0,0.0,0.007740705479914192
corkscrew,0.0,0.0,0.0,0.01272531787063623,0.012943332850537094,0.0,0.0,0.0,0.012943332850537094,0.0,0.0,0.0,0.003217665297642535
plunger,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
plough,0.0,0.0,0.0,0.021401841201444106,0.018531107723635455,0.0,0.0,0.0,0.018531107723635455,0.0,0.0,0.0,0.004872004720726251
trowel,0.0,0.0,0.0,0.013284072616590434,0.014934782634920974,0.0,0.0,0.0,0.014934782634920974,0.0,0.0,0.0,0.0035961364905360317
saw,0.0,0.0,0.0,0.0019614064466977593,0.001957651273357464,0.0022706363176342947,0.0,0.0,0.001957651273357464,0.0,0.0,0.0,0.0006789454425872487
cello,0.0,0.0,0.0,0.0,0.0006282709125659781,0.0,0.0,0.0,0.0006282709125659781,0.0,0.0,0.0,0.00010471181876099635
plank,0.0,0.0,0.0,0.0,0.08784108426000764,0.0,0.0,0.0,0.08784108426000764,0.0,0.0,0.0,0.014640180710001274
outrigger,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
soundbox,0.0,0.0,0.0,0.0,0.24358645638928073,0.0,0.0,0.0,0.24358645638928073,0.0,0.0,0.0,0.04059774273154679
harp,0.0,0.0,0.0,0.0,0.00405548065201813,0.0,0.0,0.0,0.00405548065201813,0.0,0.0,0.0,0.0006759134420030216
guitar,0.0,0.0,0.0,0.0,0.0009988474734436586,0.0,0.0,0.0,0.0009988474734436586,0.0,0.0,0.0,0.00016647457890727642
chock,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
soffit,0.0,0.0,0.0,0.0,0.06622070579676316,0.0,0.0,0.0,0.06622070579676316,0.0,0.0,0.0,0.011036784299460527
timber,0.0,0.0,0.0,0.0,0.014770198042139937,0.0,0.0,0.0,0.014770198042139937,0.0,0.0,0.0,0.0024616996736899896
binnacle,0.0,0.0,0.0,0.0,0.025026962281896294,0.0,0.0,0.0,0.025026962281896294,0.0,0.0,0.0,0.004171160380316049
strake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pencil,0.0,0.0,0.0,0.0,0.007145194314429044,0.0,0.009684944549733393,0.0,0.007145194314429044,0.0,0.0,0.0,0.0019979444315492904
clapboard,0.0,0.0,0.0,0.0,0.01641398632995719,0.0,0.0,0.0,0.01641398632995719,0.0,0.0,0.0,0.002735664388326198
button,0.0,0.0,0.0,0.0,0.0012634464471463112,0.0,0.0,0.0,0.0012634464471463112,0.0,0.0,0.0,0.00021057440785771854
rafter,0.0,0.0,0.0,0.0,0.006886512167063523,0.0,0.0,0.0,0.006886512167063523,0.0,0.0,0.0,0.0011477520278439205
plywood,0.0,0.0,0.0,0.0,0.08770805073829584,0.0,0.0,0.0,0.08770805073829584,0.0,0.0,0.0,0.01461800845638264
peg,0.0,0.0,0.0,0.0,0.05822817461856295,0.0681434806294584,0.0,0.0,0.05822817461856295,0.0,0.0,0.0,0.015383319155548691
tray,0.0,0.0,0.0,0.0,0.040953763863193354,0.0,0.0,0.0,0.040953763863193354,0.0,0.0,0.0,0.006825627310532226
barrel,0.0,0.0,0.0,0.0,0.027697212892525247,0.0,0.0,0.0,0.027697212892525247,0.0,0.03246051727263655,0.0,0.007321245254807253
kickstand,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
club,0.0,0.0,0.0,0.0,0.0017499442928178939,0.0,0.002367541023840244,0.0,0.0017499442928178939,0.0,0.0,0.0,0.000488952467456336
armrest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
floorboard,0.0,0.0,0.0,0.0,0.041620687935079996,0.0,0.0,0.0,0.041620687935079996,0.0,0.0,0.0,0.006936781322513332
trestle,0.0,0.0,0.0,0.0,0.2669055042870745,0.0,0.0,0.0,0.2669055042870745,0.0,0.0,0.0,0.04448425071451242
table,0.0,0.0,0.0,0.0,0.006765185348097126,0.0,0.0,0.0,0.006765185348097126,0.00836146385637511,0.0,0.0,0.0018243195460474467
transom,0.0,0.0,0.0,0.0,0.007849045950009934,0.0,0.0,0.0,0.007849045950009934,0.0,0.0,0.0,0.0013081743250016556
window,0.0,0.0,0.0,0.0,0.010514326709031503,0.0,0.0,0.0,0.010514326709031503,0.0,0.013041282195417267,0.0,0.0028391613011233565
