,weapon,animal,no-cat,tool,all,communication,relation,cutlery,object,food,measure,vehicle,mean
lumber,0.0,0.0,0.0,0.0,0.007405386182089832,0.0,0.0,0.0,0.007405386182089832,0.0,0.0,0.0,0.0012342310303483054
chair,0.0,0.0,0.0,0.0,0.010185553867454553,0.0,0.0,0.0,0.010185553867454553,0.0,0.0,0.0,0.0016975923112424254
truss,0.0,0.0,0.0,0.0,0.0246591729386023,0.0,0.0,0.0,0.0246591729386023,0.0,0.0,0.0,0.004109862156433716
mop,0.0,0.0,0.0,0.0,0.009572887116005376,0.0,0.0,0.0,0.009572887116005376,0.0,0.0,0.0,0.001595481186000896
houseboat,0.0,0.0,0.0,0.0,0.012310974442657135,0.0,0.0,0.0,0.012310974442657135,0.0,0.0,0.010414307884767644,0.002919688064173493
weatherboard,0.0,0.0,0.0,0.0,0.008152616102395493,0.0,0.01031629434069264,0.0,0.008152616102395493,0.0,0.0,0.0,0.002218460545456969
trave,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
deck,0.0,0.0,0.0,0.0,0.029185955327740588,0.0,0.0,0.0,0.029185955327740588,0.0,0.0,0.0,0.004864325887956765
roof,0.0,0.0,0.0,0.0,0.026247341834913094,0.0,0.0,0.0,0.026247341834913094,0.0,0.0,0.0,0.004374556972485516
dowel,0.0,0.0,0.0,0.0,0.2566945530676303,0.0,0.0,0.0,0.2566945530676303,0.0,0.0,0.0,0.04278242551127171
fingerboard,0.0,0.0,0.0,0.0,0.00998070962552222,0.013397178243494222,0.0,0.0,0.00998070962552222,0.0,0.0,0.0,0.0027798831245448886
clock,0.0,0.0,0.0,0.0,0.0093366011341664,0.0,0.0,0.0,0.0093366011341664,0.0,0.0,0.0,0.0015561001890277333
ferrule,0.0,0.0,0.0,0.0,0.03370016770173725,0.0,0.0,0.0,0.03370016770173725,0.0,0.0,0.0,0.005616694616956208
board,0.0,0.0,0.0,0.0,0.003560219636186196,0.0,0.0,0.0,0.003560219636186196,0.005029057080738469,0.0,0.0,0.001012458029425905
spindle,0.0,0.0,0.0,0.0,0.0031254764103515647,0.0,0.005305319462730277,0.0,0.0031254764103515647,0.0,0.0,0.0,0.000963022690286117
handrail,0.0,0.0,0.0,0.0,0.04026333164025771,0.0,0.0,0.0,0.04026333164025771,0.0,0.0,0.0,0.006710555273376284
gunwale,0.0,0.0,0.0,0.0,0.07612412739027333,0.0,0.0,0.0,0.07612412739027333,0.0,0.0,0.0,0.012687354565045555
puppet,0.0,0.0,0.0,0.0,0.018432319551834806,0.0,0.0,0.0,0.018432319551834806,0.0,0.0,0.0,0.0030720532586391344
grommet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
railing,0.0,0.0,0.0,0.0,0.08056563079631468,0.0,0.0,0.0,0.08056563079631468,0.0,0.0,0.0,0.013427605132719114
footrest,0.0,0.0,0.0,0.0,0.077813900110964,0.0,0.0,0.0,0.077813900110964,0.0,0.0,0.0,0.012968983351827333
hutch,0.0,0.0,0.0,0.0,0.0008899026167733179,0.0,0.0,0.0,0.0008899026167733179,0.0,0.0,0.0,0.000148317102795553
oar,0.0,0.0,0.0,0.0,0.0200341235778619,0.0,0.0,0.0,0.0200341235778619,0.0,0.0,0.0,0.003339020596310317
bridge,0.0,0.0,0.0,0.0,0.05666260197723276,0.0,0.0698258245341543,0.0,0.05666260197723276,0.0,0.0,0.0,0.015262585707384984
fipple,0.0,0.0,0.0,0.0,0.024548032481973448,0.0,0.0,0.0,0.024548032481973448,0.0,0.0,0.0,0.004091338746995575
headstock,0.0,0.0,0.0,0.0,0.0316874663899008,0.0,0.0,0.0,0.0316874663899008,0.0,0.0,0.0,0.0052812443983168
joist,0.0,0.0,0.0,0.0,0.043960504390588497,0.0,0.0,0.0,0.043960504390588497,0.0,0.0,0.0,0.007326750731764749
paddle,0.0,0.0,0.0,0.0,0.036661083911985436,0.0,0.0,0.0,0.036661083911985436,0.0,0.0,0.0,0.006110180651997573
bookcase,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ladder,0.0,0.0,0.0,0.0,0.0294265945742544,0.0,0.0,0.0,0.0294265945742544,0.0,0.0,0.0,0.0049044324290424
violin,0.0,0.0,0.0,0.0,0.0009501296718168072,0.0,0.0,0.0,0.0009501296718168072,0.0,0.0,0.0,0.00015835494530280121
stool,0.0,0.0,0.0,0.0,0.030590243676805594,0.0,0.036802552171175486,0.0,0.030590243676805594,0.0,0.0,0.0,0.008165253293732223
girder,0.0,0.0,0.0,0.0,0.016022419843871944,0.0,0.0,0.0,0.016022419843871944,0.0,0.0,0.0,0.0026704033073119905
rudder,0.0,0.0,0.0,0.0,0.004810869403513993,0.0,0.0,0.0,0.004810869403513993,0.0,0.0,0.0,0.0008018115672523322
mandrel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stick,0.0,0.0,0.0,0.0,0.08039238303323715,0.0,0.09580583504769768,0.0,0.08039238303323715,0.09567694727249046,0.0,0.0,0.02935562903222187
wood,0.0,0.0,0.0,0.0,0.025245008772664886,0.0,0.02995771911125296,0.0,0.025245008772664886,0.0,0.0,0.0,0.006703978054715228
flatcar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kayak,0.0,0.0,0.0,0.0,0.002546130356920934,0.0,0.0,0.0,0.002546130356920934,0.0,0.0,0.0022700474456058906,0.0006135256799539799
ladle,0.0,0.0,0.0,0.0,0.08172097199354705,0.0,0.0,0.0,0.08172097199354705,0.0,0.0,0.0,0.01362016199892451
centerboard,0.0,0.0,0.0,0.0,0.039482373736727194,0.0,0.0,0.0,0.039482373736727194,0.0,0.0,0.0,0.006580395622787866
centreboard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lath,0.0,0.0,0.0,0.0,0.009932575884480006,0.0,0.0,0.0,0.009932575884480006,0.0,0.0,0.0,0.0016554293140800009
hardboard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
boat,0.0,0.0,0.0,0.0,0.02710622181554106,0.0,0.0,0.0,0.02710622181554106,0.0,0.0,0.029115583489183246,0.0069440022600221135
fence,0.0,0.0,0.0,0.0,0.0723572903286861,0.0,0.0,0.0,0.0723572903286861,0.0,0.0,0.0,0.01205954838811435
bedstead,0.0,0.0,0.0,0.0,0.09877764756024626,0.0,0.0,0.0,0.09877764756024626,0.0,0.0,0.0,0.016462941260041043
beam,0.0,0.0,0.0,0.0,0.011670527607315146,0.01202342513572698,0.0,0.0,0.011670527607315146,0.0,0.0,0.0,0.0029470400291964397
flute,0.0,0.0,0.0,0.0,0.01242458512007253,0.0,0.0,0.0,0.01242458512007253,0.0,0.0,0.0,0.002070764186678755
chamfer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
brush,0.0,0.0,0.0,0.0,0.0029234183459337674,0.0,0.0,0.0,0.0029234183459337674,0.0,0.0,0.0,0.00048723639098896125
pin,0.0,0.0,0.0,0.0,0.005911188293041021,0.006880769939474783,0.0,0.0,0.005911188293041021,0.0,0.0,0.0,0.001558595543796402
rope,0.0,0.0,0.0,0.0,0.009286360988481502,0.0,0.0,0.0,0.009286360988481502,0.0,0.0,0.0,0.0015477268314135837
noseband,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
crosshead,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
anchor,0.0,0.0,0.0,0.0,0.0010858236272107582,0.0,0.0,0.0,0.0010858236272107582,0.0,0.0,0.0,0.00018097060453512638
wire,0.0,0.0,0.0,0.0,0.003839915727779957,0.005220928390952187,0.0,0.0,0.003839915727779957,0.0,0.0,0.0,0.001075063320542675
cushion,0.0,0.0,0.0,0.0,0.01752304885712985,0.0,0.0,0.0,0.01752304885712985,0.0,0.0,0.0,0.002920508142854975
saxophone,0.0,0.0,0.0,0.0,0.0008193659231892804,0.0,0.0,0.0,0.0008193659231892804,0.0,0.0,0.0,0.0001365609871982134
staysail,0.0,0.0,0.0,0.0,0.019126185567807655,0.0,0.0,0.0,0.019126185567807655,0.0,0.0,0.0,0.003187697594634609
cymbal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fuselage,0.0,0.0,0.0,0.0,0.038394377395302645,0.0,0.0,0.0,0.038394377395302645,0.0,0.0,0.0,0.0063990628992171075
trumpet,0.0,0.0,0.0,0.0,0.004337416915305178,0.0,0.0,0.0,0.004337416915305178,0.0,0.0,0.0,0.0007229028192175297
pedal,0.0,0.0,0.0,0.0,0.00046616080982778753,0.0005788593850963209,0.0,0.0,0.00046616080982778753,0.0,0.0,0.0,0.00012593175039599133
wheelbarrow,0.0,0.0,0.0,0.0,0.013714369334589535,0.0,0.0,0.0,0.013714369334589535,0.0,0.0,0.015263238615329053,0.0035576647737090104
tappet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
windshield,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pulley,0.0,0.0,0.0,0.0,0.013978473130356937,0.0,0.0,0.0,0.013978473130356937,0.0,0.0,0.0,0.002329745521726156
pintle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
laptop,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
washtub,0.0,0.0,0.0,0.0,0.02226082389832325,0.0,0.0,0.0,0.02226082389832325,0.0,0.0,0.0,0.0037101373163872086
turnbuckle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
strap,0.0,0.0,0.0,0.0,0.0071911653935656066,0.0,0.0,0.0,0.0071911653935656066,0.0,0.0,0.0,0.0011985275655942678
wheel,0.0,0.0,0.0,0.0,0.017024238064597665,0.0,0.0,0.0,0.017024238064597665,0.0,0.0,0.021485693091062436,0.004627847435021481
steerer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
screw,0.0,0.0,0.0,0.0,0.0457510450861483,0.0,0.0,0.0,0.0457510450861483,0.0,0.0,0.0,0.007625174181024717
eyelet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
holster,0.0,0.0,0.0,0.0,0.009517486594690656,0.0,0.0,0.0,0.009517486594690656,0.0,0.0,0.0,0.0015862477657817761
rock,0.0,0.0,0.0,0.0,0.0005889524815235172,0.0007020474195908846,0.0006495271811928322,0.0,0.0005889524815235172,0.0008986972329167139,0.0,0.0,0.0002856813997289555
deal,0.0,0.0,0.0,0.0,0.00012375252198489338,0.00013771536719069745,0.00013023919084226586,0.0,0.00012375252198489338,0.0,0.00015311288108127525,0.0,5.571437359033545e-05
breechblock,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chimney,0.0,0.0,0.0,0.0,0.007256690738089495,0.0,0.0,0.0,0.007256690738089495,0.0,0.0,0.0,0.001209448456348249
scabbard,0.0,0.0,0.0,0.0,0.04205766908151132,0.0,0.0,0.0,0.04205766908151132,0.0,0.0,0.0,0.007009611513585219
bagpipe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carabiner,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
