,context,n_concepts,mean_tfidf,mean_diff,evidence
0,notorious,10,0.03,0.03,-
1,him,10,0.03,0.03,-
2,one,10,0.02,0.01,-
3,off,10,0.01,0.01,-
4,was,9,0.03,0.02,-
5,role,9,0.01,0.01,-
6,film,9,0.02,0.01,-
7,revealed,9,0.02,0.02,-
8,frank,9,0.01,0.01,-
9,anthony,9,0.01,0.01,-
10,mob,9,0.02,0.02,-
11,self,9,0.01,0.01,-
12,prison,9,0.01,0.01,-
13,actually,9,0.01,0.01,-
14,himself,9,0.02,0.02,-
15,fbi,9,0.02,0.02,-
16,charges,9,0.01,0.01,-
17,crime,9,0.02,0.02,-
18,murder,9,0.03,0.02,-
19,man,9,0.02,0.02,-
20,dangerous,8,0.01,0.01,-
