,context,n_concepts,mean_tfidf,mean_diff,evidence
0,vegetables,11,0.11,0.1,-
1,potatoes,11,0.08,0.07,-
2,vegetable,11,0.05,0.04,-
3,bamboo,11,0.01,0.01,-
4,garden,11,0.02,0.02,-
5,peas,11,0.04,0.04,-
6,mushrooms,10,0.03,0.02,-
7,eaten,10,0.03,0.03,-
8,cooked,10,0.04,0.03,-
9,bean,10,0.02,0.02,-
10,corn,10,0.03,0.02,-
11,pumpkins,10,0.01,0.01,-
12,beets,10,0.03,0.03,-
13,flowers,10,0.01,0.01,-
14,foods,10,0.02,0.01,-
15,etc,10,0.01,0.01,-
16,green,10,0.02,0.01,-
17,fruits,10,0.02,0.02,-
18,taro,10,0.01,0.01,-
19,harvested,10,0.01,0.01,-
20,green,10,0.02,0.01,-
