,plant,no-cat,measure,relation,object,communication,hot,food,all,mean
tea,0.003723712890976213,0.0,0.0,0.004991776594964171,0.005280729030829285,0.0,0.0,0.0038393593904113054,0.005107812362282296,0.0025492655854959193
coffee,0.005815095274766912,0.006440795244299741,0.0,0.008106325029700186,0.008084109248813693,0.0,0.0,0.006130612126637404,0.00780484833960213,0.004709087251535562
popcorn,0.013228785947729041,0.0,0.0,0.0,0.01931367637930371,0.0,0.0,0.014372860467685765,0.018948931004451695,0.007318250422130024
garlic,0.0017068122645447683,0.0,0.0,0.0,0.001479850825103444,0.0,0.0,0.001613005091876036,0.0015252083579209478,0.000702764059938355
vegetable,0.007105557731164336,0.0069479244566840554,0.0,0.0,0.006260331821115864,0.0,0.0,0.0054794613760990795,0.006081016567459703,0.0035415879947247823
dish,0.0,0.05603424290804005,0.07466742595327137,0.0,0.06425402369781266,0.0,0.0,0.04935521544743978,0.060981699937227934,0.03392140088264353
glass,0.0,0.0,0.0,0.0,0.0008514733781628612,0.0,0.0,0.0,0.0007151036071103386,0.0001740641094748
toast,0.0,0.0,0.0,0.0,0.013788326895135346,0.0,0.0,0.009874175990099536,0.013801729744055956,0.004162692514365648
heat,0.0,0.0,0.007772616638593478,0.0,0.006749516726835129,0.0,0.0,0.0,0.0061726970751948265,0.002299425604513715
pot,0.0,0.0,0.007435254137107081,0.005959515246227043,0.006801830530493685,0.0,0.0,0.0,0.006439852181732562,0.002959605788395597
kettle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tub,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dough,0.0,0.0,0.18050833165250052,0.0,0.0,0.0,0.0,0.13391972310392763,0.1603550716481276,0.05275368071161731
summertime,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
drink,0.0,0.0,0.0,0.002016472956244893,0.0,0.0,0.0,0.0015638642698801194,0.0020844353879498653,0.0006294191793416531
