,plant,no-cat,measure,relation,object,communication,hot,food,all,mean
tea,0.004840826758269077,0.0,0.0,0.005459011791285887,0.005468487536064851,0.0,0.0,0.005306169874144451,0.0055397595379367255,0.0029571394997445545
coffee,0.002394450995492258,0.0026520921594175404,0.0,0.0028079454818239697,0.0026516199856045433,0.0,0.0,0.0026836877812662046,0.0026811814979820145,0.00176344198906517
popcorn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
garlic,0.0010438382073409682,0.0,0.0,0.0,0.0006585820607627501,0.0,0.0,0.0011403984449422635,0.0007626041789604739,0.0004006025435562729
vegetable,0.003160406224496176,0.0025265179842487474,0.0,0.0,0.0020262200692465833,0.0,0.0,0.002817448912376154,0.002211278751803529,0.0014157635491301322
dish,0.0,0.004394842581022749,0.003876204248918954,0.0,0.004014395299616551,0.0,0.0,0.004115303765431898,0.00399026711097402,0.002265668111773797
glass,0.0,0.0,0.005959157448104929,0.0,0.007121809689854639,0.0,0.0,0.0,0.006264276148108416,0.002149471476229776
toast,0.0,0.0,0.0025170630341748716,0.0,0.0027458801080537396,0.0,0.0,0.0026243388065406935,0.0028786320371278792,0.0011962126650996872
heat,0.0,0.0,0.0021183710110429296,0.0,0.00221386833047494,0.0,0.0,0.0,0.0021204923491830135,0.0007169701878556537
pot,0.0,0.0,0.005331428406975625,0.005431109776347232,0.0058697270240022255,0.0,0.0,0.0,0.005820370512252437,0.00249473730217528
kettle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tub,0.0,0.0,0.005587403776403879,0.0,0.006432904062044665,0.0,0.0,0.0,0.006367271562420548,0.0020430643778743436
dough,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
summertime,0.0,0.0,0.004233702728803208,0.0,0.0,0.0,0.0,0.0,0.004532532268332661,0.0009740261107928742
drink,0.0,0.0,0.001899750795899124,0.0022617608278866297,0.0,0.0,0.0,0.0022167505464618614,0.0023186745809779365,0.0009663263056917281
mug,0.0,0.0,0.011912303825589363,0.0,0.013357693259082017,0.0,0.0,0.0,0.012909693371483757,0.004242187828461682
bottle,0.0,0.0,0.0038072342386346407,0.0,0.004326294732279013,0.0,0.0,0.0,0.004389684489157327,0.001391468162230109
can,0.0,0.0,0.001342566611941081,0.0,0.0016167204095680805,0.0013471789051866373,0.0,0.0,0.0015863145572838234,0.0006547533871088469
jug,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
atmosphere,0.0,0.0,0.002474161708311545,0.0,0.0026494200711031173,0.0,0.0,0.0,0.002654322895569835,0.000864211630553833
bath,0.0,0.0,0.003189449976941158,0.0,0.003075913227678417,0.0,0.0,0.0,0.003070064911477621,0.0010372697906774662
space,0.0,0.0,0.0026668390267034258,0.0,0.002730401123366145,0.002795972419619326,0.0,0.0,0.00266772518438095,0.0012067708615633162
bread,0.0,0.0,0.0037833273690210177,0.0,0.0,0.0,0.0,0.004225047716431444,0.003863945607792694,0.0013191467436939061
jar,0.0,0.0,0.002185334666188095,0.0,0.0022074023226376664,0.0,0.0,0.0,0.0020819498718637696,0.0007194096511877256
nose,0.0,0.0,0.000950532401532656,0.0,0.0007874074707786011,0.001120056675065593,0.0,0.0,0.0008081832852308726,0.0004073533147341914
winter,0.0,0.0,0.0016735798590241813,0.0,0.0,0.0,0.0,0.0,0.001428136612211243,0.0003446351634706027
hair,0.0,0.0,0.0013151024329803938,0.0,0.0011604575433264023,0.0,0.0,0.0,0.001203939035840971,0.00040883322357197413
charcoal,0.0,0.0,0.0,0.014384911554126372,0.015440973387610007,0.0,0.0,0.0,0.015560506927173543,0.00504293242987888
soup,0.0,0.0,0.0,0.005928382261576987,0.0,0.0,0.0,0.006162818383094619,0.006062237129231726,0.0020170486415448147
chocolate,0.0,0.0,0.0,0.0004782020324049583,0.0,0.0,0.0,0.00048529585288350737,0.00046292174410729855,0.0001584910699328627
vapor,0.0,0.0,0.0,0.0028805469939132892,0.0,0.0,0.0,0.0,0.0028704432579150833,0.0006389989168698192
water,0.0,0.0,0.0,0.0019194419454688714,0.0020265104513641037,0.0,0.0,0.0017956619175819948,0.0019814133782611928,0.0008581141880751292
steam,0.0,0.0,0.0,0.0012233816126331276,0.0,0.0,0.0,0.0,0.0012418279531526528,0.00027391217397619783
kerosene,0.0,0.0,0.0,0.04565402357525775,0.0,0.0,0.0,0.0,0.04696091150919998,0.010290548342717525
lava,0.0,0.0,0.0,0.0003234143774287408,0.0,0.0,0.0,0.0,0.0003152440217486056,7.096204435303848e-05
fire,0.0,0.0,0.0,0.0285986141893274,0.03197038395207268,0.029776835230136058,0.0,0.0,0.03194648623574501,0.013588035511920128
soot,0.0,0.0,0.0,0.00934769852150665,0.0,0.0,0.0,0.0,0.011722264855671627,0.0023411070419086977
lemonade,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
juice,0.0,0.0,0.0,0.0012750931244778455,0.0,0.0,0.0,0.0017709506348848071,0.001299855703767035,0.00048287771812552085
beer,0.0,0.0,0.0,0.0013446458735589329,0.0,0.0,0.0,0.001575426406287297,0.0013064084659602166,0.00046960897175627185
cooler,0.0,0.0,0.0,0.0014970939376707053,0.0013973552654819566,0.0,0.0,0.001470842308032456,0.0014136885737328726,0.0006421088983242212
grill,0.0,0.0,0.0,0.0,0.0015977290221272811,0.0,0.0,0.0,0.0016007992552800338,0.000355392030823035
kitchen,0.0,0.0,0.0,0.0,0.005185261116556572,0.0,0.0,0.0,0.004971351019916162,0.0011285124596080815
igniter,0.0,0.0,0.0,0.0,0.041148107081968394,0.0,0.0,0.0,0.054190081029263794,0.010593132012359131
casserole,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tray,0.0,0.0,0.0,0.0,0.009229242180230917,0.0,0.0,0.0,0.00919547993402357,0.002047191346028276
cookware,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oven,0.0,0.0,0.0,0.0,0.009228450832802288,0.0,0.0,0.0,0.008946305037784909,0.002019417318954133
jungle,0.0,0.0,0.0,0.0,0.0012776504005285458,0.0,0.0,0.0,0.0013230058552768415,0.0002889618062005986
tandoor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
firebox,0.0,0.0,0.0,0.0,0.0075082522698162605,0.0,0.0,0.0,0.006655242881573186,0.0015737216834877164
percolator,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
outfit,0.0,0.0,0.0,0.0,0.0025509105361018673,0.0,0.0,0.0,0.002599117929397162,0.0005722253850554477
stove,0.0,0.0,0.0,0.0,0.04208211420059754,0.0,0.0,0.0,0.04090702232132078,0.009221015169102035
ingredient,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
geyser,0.0,0.0,0.0,0.0,0.0012773483384864363,0.0,0.0,0.0,0.0011352631505013018,0.0002680679432208598
shower,0.0,0.0,0.0,0.0,0.0017268891783887349,0.0,0.0,0.0,0.0016881536565144545,0.0003794492038781321
hearth,0.0,0.0,0.0,0.0,0.02252913508392024,0.0,0.0,0.0,0.023533835526965113,0.005118107845653928
cooker,0.0,0.0,0.0,0.0,0.005000032612998124,0.0,0.0,0.0,0.005425694958038086,0.001158414174559579
furnace,0.0,0.0,0.0,0.0,0.007320113755081847,0.0,0.0,0.0,0.007121557408082638,0.0016046301292404984
bulb,0.0,0.0,0.0,0.0,0.017529090492912656,0.0,0.0,0.0,0.01771363296508984,0.003915858162000278
meat,0.0,0.0,0.0,0.0,0.0011073403175392085,0.0,0.0,0.0011151968484700851,0.0010843325924343719,0.0003674299731604073
sauna,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bathroom,0.0,0.0,0.0,0.0,0.002179704862596379,0.0,0.0,0.0,0.00204755447824383,0.00046969548231557876
burner,0.0,0.0,0.0,0.0,0.027395833834186752,0.0,0.0,0.0,0.025990941363164422,0.005931863910816797
boiler,0.0,0.0,0.0,0.0,0.0042929708702503806,0.0,0.0,0.0,0.004074309024380977,0.0009296977660701507
butter,0.0,0.0,0.0,0.0,0.0024667331693420573,0.0,0.0,0.0029118297666256942,0.002462051773457274,0.0008711794121583361
fireplace,0.0,0.0,0.0,0.0,0.00986642623788072,0.0,0.0,0.0,0.009312089338452104,0.0021309461751480912
tile,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heater,0.0,0.0,0.0,0.0,0.0028248775813298024,0.0,0.0,0.0,0.0028548027292107023,0.000631075590060056
cake,0.0,0.0,0.0,0.0,0.008314791902601692,0.0,0.0,0.008120307038351583,0.008458433500553723,0.0027659480490563335
toaster,0.0,0.0,0.0,0.0,0.006082693327485938,0.0,0.0,0.0,0.006703881492236581,0.0014207305355247244
kiln,0.0,0.0,0.0,0.0,0.0034685799841432364,0.0,0.0,0.0,0.0037018688605978036,0.00079671653830456
chimney,0.0,0.0,0.0,0.0,0.007090555501329812,0.0,0.0,0.0,0.006664310999045416,0.001528318500041692
griddle,0.0,0.0,0.0,0.0,0.015302170279022342,0.0,0.0,0.0,0.016044034528550754,0.0034829116452858994
heating,0.0,0.0,0.0,0.0,0.0012982286356236928,0.0,0.0,0.0,0.001223844733841236,0.0002802303743849921
bathtub,0.0,0.0,0.0,0.0,0.005497727225934749,0.0,0.0,0.0,0.005707892423777903,0.0012450688499680725
wok,0.0,0.0,0.0,0.0,0.018722001488036853,0.0,0.0,0.0,0.032346897634391684,0.005674322124714282
skillet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
barbecue,0.0,0.0,0.0,0.0,0.0072245893988986025,0.0,0.0,0.007228647057594059,0.007171043919969946,0.002402697819606956
cream,0.0,0.0,0.0,0.0,0.0015624188682281084,0.0,0.0,0.0021585930529493145,0.0016899151928571011,0.0006012141237816138
pomade,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
countertop,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
boot,0.0,0.0,0.0,0.0,0.000943947266960591,0.0,0.0,0.0,0.0009719884052424958,0.00021288174135589852
toilet,0.0,0.0,0.0,0.0,0.0015705740100937537,0.0,0.0,0.0,0.0015433193925601944,0.00034598815585043866
freezer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
table,0.0,0.0,0.0,0.0,0.0034290633911557536,0.0,0.0,0.0036235066175999953,0.0033965531836996476,0.0011610136880505996
