,food,communication,plant,no-cat,all,hot,relation,object,measure,mean
sandwich,0.0009987058779152614,0.0,0.0,0.0,0.0008292184932978598,0.0,0.0,0.0,0.0,0.00020310270791256904
pizza,0.0005841926277658672,0.0,0.0,0.0,0.0005433678312046578,0.0,0.0,0.0,0.0,0.00012528449544116943
dish,0.0011211729137170134,0.0,0.0,0.0008946103742823908,0.0009598524692831486,0.0,0.0,0.0009848449875321673,0.000766528910954943,0.0005252232950855181
pastry,0.0006647600550718186,0.0,0.0,0.0,0.0005925564157810481,0.0,0.0,0.0,0.0,0.00013970183009476297
syrup,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
casserole,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
soup,0.0007547697122941721,0.0,0.0,0.0,0.0006305892677593116,0.0,0.0007043271917591866,0.0,0.0,0.00023218735242363004
toast,0.0015871835479674542,0.0,0.0,0.0,0.0013084093701820686,0.0,0.0,0.001289142862647382,0.0010388589091662988,0.0005803994099959115
cupcake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pasta,0.0012770241720325144,0.0,0.0,0.0,0.0010203780238532702,0.0,0.0,0.0,0.0,0.0002552669106539761
tea,0.001472717886670262,0.0,0.0013985617654737508,0.0,0.001280702550759679,0.0,0.0015187108567576012,0.0012661996060606324,0.0,0.0007707658517468806
chocolate,0.0006803229614428972,0.0,0.0,0.0,0.0005283403466334975,0.0,0.0006439813376510281,0.0,0.0,0.00020584940508082476
pancake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
snack,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chutney,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
seasoning,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flatbread,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
water,0.0015274060345143467,0.0,0.0,0.0,0.0014289972396964996,0.0,0.0015863339440382684,0.0014018933625260927,0.0,0.0006605145089750231
quesadilla,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ingredient,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
roast,0.000719923246702602,0.0,0.0,0.0,0.0005869663747976146,0.0,0.0,0.0,0.0,0.00014520995794446853
dough,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
marinade,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dessert,0.0031869442994645796,0.0,0.0,0.0,0.0026373331181930313,0.0,0.0,0.0,0.0,0.0006471419352952901
pudding,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
