,context,n_concepts,mean_tfidf,mean_diff,evidence
0,she,41,0.07,0.05,-
1,herself,40,0.03,0.03,-
2,woman,40,0.03,0.02,-
3,beautiful,38,0.03,0.03,-
4,her,35,0.09,0.06,-
5,sister,35,0.03,0.02,-
6,lady,35,0.05,0.04,-
7,appeared,34,0.01,0.01,-
8,women,34,0.01,0.01,-
9,story,33,0.02,0.02,-
10,female,33,0.02,0.01,-
11,love,33,0.03,0.02,-
12,character,33,0.03,0.02,-
13,so,32,0.01,0.01,-
14,novel,32,0.02,0.01,-
15,drama,32,0.01,0.01,-
16,alice,31,0.02,0.02,-
17,seen,31,0.01,0.01,-
18,mistress,31,0.04,0.03,-
19,princess,31,0.03,0.02,-
20,female,33,0.02,0.01,-
