property,all,all-p,prop-specific,non-specific,p,l,n,i,r,b,u
square,0.05233306033854781,0.05233306033854781,,0.05233306033854781,,,,0.05233306033854781,,,0.016206235661074292
warm,0.05596940777686752,0.03628109749224038,0.005361851080021008,0.03628109749224038,0.0015924201238009855,0.005361851080021008,,0.031762196938285706,0.03628109749224038,0.0022319821923139937,0.05596940777686752
black,0.042980190054398154,0.017445547435318374,0.017445547435318374,0.011364676971726922,0.017445547435318374,0.005089301434082311,0.0018150945707684268,0.011364676971726922,0.004492938721614364,,0.042980190054398154
red,0.029775988765081224,0.029775988765081224,0.016945666316638002,0.029775988765081224,0.016945666316638002,,,0.029775988765081224,0.003958282238599942,,0.0219814166008733
fly,0.019116115681045275,0.015256899816053448,0.005194455000095943,0.015256899816053448,0.005194455000095943,0.00263975830966984,,0.015256899816053448,0.006037368999997425,,0.019116115681045275
dangerous,0.028852504370680716,0.021392863392316726,0.007675903679545471,0.021392863392316726,0.00341166739773981,0.007675903679545471,0.006668456835834568,0.021392863392316726,0.010869725962672369,,0.028852504370680716
wings,0.02343875463051435,0.017702074156567504,0.007575133147861866,0.017702074156567504,,0.007575133147861866,,0.017702074156567504,0.00949525952296186,0.003301108727659992,0.02343875463051435
sweet,0.03665283137217872,0.03665283137217872,0.0151780071558961,0.03665283137217872,0.0151780071558961,,,0.03665283137217872,,,0.006031574706457028
hot,0.029487636540394477,0.029487636540394477,0.029487636540394477,0.025753573729446273,0.02114609177864704,0.029487636540394477,0.013456150169101727,0.025753573729446273,0.022070197210739603,,0.014915252766470035
used_in_cooking,0.05218877121850574,0.05218877121850574,0.02282219710451737,0.05218877121850574,0.02282219710451737,0.010578413644012668,0.006383059042982958,0.05218877121850574,0.03430546639187959,0.0012987176990932531,0.024544127977842646
juicy,0.03522878196800127,0.03522878196800127,0.03522878196800127,0.031399908331051433,0.03522878196800127,,,0.031399908331051433,0.01659624044391231,,0.018927336366827086
green,0.018787320091229614,0.018787320091229614,0.010661069553008669,0.018787320091229614,0.010661069553008669,,,0.018787320091229614,0.007929455080782216,,0.014654366313764626
made_of_wood,0.02257638816574311,0.02257638816574311,0.02257638816574311,0.019918245779042734,0.02257638816574311,,,0.019918245779042734,0.013431403909108287,,0.01326706457034038
blue,0.025342855289000803,0.025342855289000803,0.013265923782265253,0.025342855289000803,0.013265923782265253,,,0.025342855289000803,0.01239957666179786,,0.01806509003170409
yellow,0.013305024074894152,0.010118213477413608,,0.010118213477413608,,,,0.010118213477413608,,,0.013305024074894152
roll,0.04185102895673504,0.02739387966817979,0.02739387966817979,0.020139029989278565,0.00464619406783537,0.02739387966817979,,0.020139029989278565,0.019053361901632926,,0.04185102895673504
female,0.04115615111283975,0.04115615111283975,0.007074471636893433,0.04115615111283975,0.006672453649164377,0.007074471636893433,,0.04115615111283975,,0.009589319026691587,0.01277513678491548
cold,0.037889107794701664,0.012402317337468752,0.009935101649058921,0.012402317337468752,0.009935101649058921,,0.005213000422460121,0.012402317337468752,0.006102165727304213,,0.037889107794701664
round,0.03852525345046541,0.0296171215564484,0.007919093960730811,0.0296171215564484,0.005609954560298343,0.007919093960730811,0.004624424112366816,0.0296171215564484,0.005602932706201482,,0.03852525345046541
wheels,0.043642050599842455,0.043642050599842455,0.025854211995026046,0.043642050599842455,0.025854211995026046,0.01198786672913612,,0.03351362674673193,0.043642050599842455,,0.02681840222462056
lay_eggs,0.019388663484827786,0.019388663484827786,,0.019388663484827786,,,,0.019388663484827786,0.012431691371227306,,0.017964234039565014
swim,0.030846875631057334,0.030846875631057334,0.002883844342467342,0.030846875631057334,0.002883844342467342,,,0.030846875631057334,0.011855970178624095,,0.02709296258337574
median,0.0330378287995293,0.02844075810428713,0.013265923782265253,0.025548214509223538,0.01196349666763696,0.007675903679545471,0.005798029732721539,0.025548214509223538,0.012127773420210979,0.0027665454599869925,0.02054876614095929
