property,all,all-p,prop-specific,non-specific,p,l,n,i,r,b,u
square,441.0,28.0,0.0,28.0,0.0,0.0,0.0,28.0,0.0,0.0,412.0
warm,1181.0,87.0,7.0,80.0,1.0,6.0,0.0,61.0,15.0,4.0,1094.0
black,820.0,63.0,4.0,59.0,1.0,2.0,1.0,53.0,6.0,0.0,756.0
red,1275.0,94.0,1.0,93.0,1.0,0.0,0.0,91.0,2.0,0.0,1181.0
fly,55.0,23.0,5.0,18.0,4.0,1.0,0.0,9.0,9.0,0.0,32.0
dangerous,627.0,75.0,6.0,69.0,1.0,4.0,1.0,33.0,36.0,0.0,552.0
wings,332.0,57.0,6.0,51.0,0.0,6.0,0.0,28.0,22.0,1.0,275.0
sweet,26.0,11.0,1.0,10.0,1.0,0.0,0.0,10.0,0.0,0.0,15.0
hot,92.0,25.0,8.0,17.0,2.0,4.0,2.0,11.0,6.0,0.0,67.0
used_in_cooking,705.0,268.0,9.0,259.0,2.0,2.0,5.0,132.0,126.0,1.0,437.0
juicy,122.0,24.0,1.0,23.0,1.0,0.0,0.0,20.0,3.0,0.0,98.0
green,550.0,77.0,1.0,76.0,1.0,0.0,0.0,68.0,8.0,0.0,473.0
made_of_wood,497.0,43.0,9.0,34.0,9.0,0.0,0.0,15.0,19.0,0.0,454.0
blue,1819.0,145.0,1.0,144.0,1.0,0.0,0.0,136.0,8.0,0.0,1673.0
yellow,111.0,8.0,0.0,8.0,0.0,0.0,0.0,8.0,0.0,0.0,103.0
roll,3484.0,130.0,10.0,120.0,3.0,7.0,0.0,79.0,41.0,0.0,3354.0
female,109.0,22.0,3.0,19.0,1.0,2.0,0.0,14.0,0.0,5.0,87.0
cold,590.0,29.0,2.0,27.0,1.0,0.0,1.0,24.0,3.0,0.0,561.0
round,1034.0,47.0,4.0,43.0,2.0,1.0,1.0,42.0,1.0,0.0,987.0
wheels,105.0,32.0,5.0,27.0,3.0,2.0,0.0,9.0,18.0,0.0,73.0
lay_eggs,26.0,13.0,0.0,13.0,0.0,0.0,0.0,9.0,4.0,0.0,13.0
swim,1700.0,77.0,2.0,75.0,2.0,0.0,0.0,33.0,42.0,0.0,1623.0
median,523.5,45.0,3.5,38.5,1.0,0.5,0.0,28.0,7.0,0.0,445.5
