property,all,prop-specific,non-specific,u
square,0.11639002989792924,,0.18733354074456704,0.1168676963379483
warm,0.09960222814584425,0.33815786419879823,0.13072862045053257,0.09979317919159268
black,0.09767796363882628,0.27363046258687973,0.12112061325177628,0.09904362568814071
red,0.10040688849581968,1.0,0.1295308445532083,0.10124644075556213
fly,0.12220540116980094,0.3845968797802925,0.2040136951734038,0.10686977532496976
dangerous,0.10653449371179956,0.2758610154191653,0.1656153324252282,0.10655320074003664
wings,0.11081175599873194,0.5384767929712931,0.18503672261010198,0.10999506352338928
sweet,0.15088147718745928,1.0,0.3232817424668206,0.1278979240694926
hot,0.12901149926513808,0.23220320737787656,0.20732718914308967,0.12815424071562534
used_in_cooking,0.128794315360892,0.4120999243524339,0.19030363376453385,0.1230349001834463
juicy,0.1499183776831251,1.0,0.2885279173082985,0.1455039376310762
green,0.11332528646342517,1.0,0.15375000495553473,0.11378084680974099
made_of_wood,0.10083819812975456,0.38467799665199387,0.14634260464187399,0.0997315187123099
blue,0.09837387886403047,1.0,0.12528190285761345,0.09931724788349944
yellow,0.10742283094770456,,0.15919718412416323,0.10782003549930022
roll,0.096926075880422,0.25633874692850644,0.1492861233650823,0.09695994127679736
female,0.13112138044964072,0.3400572290023168,0.28611185922347315,0.12471310801778424
cold,0.11093979109765043,0.31495392322540283,0.14486775136694705,0.11141209019066735
round,0.1011969439101493,0.1739691017816464,0.1786930094393649,0.10154655813930731
wheels,0.14832774891680953,0.3252928897738457,0.2630997075356989,0.1296248559747352
lay_eggs,0.18770575243693133,,0.26645390823101384,0.17567143577318162
swim,0.09782612149699627,0.6651540398597717,0.1475436936831941,0.09809700263356487
median,0.11087577354819118,0.3845968797802925,0.17215417093229654,0.10890754951134475
