property,all,all-p,prop-specific,non-specific,p,l,n,i,r,b,u
square,1.0,0.06349206349206349,0.0,0.06349206349206349,0.0,0.0,0.0,0.06349206349206349,0.0,0.0,0.9342403628117913
warm,1.0,0.07366638441998306,0.0059271803556308214,0.06773920406435224,0.000846740050804403,0.005080440304826418,0.0,0.05165114309906858,0.012701100762066046,0.003386960203217612,0.9263336155800169
black,1.0,0.07682926829268293,0.004878048780487805,0.07195121951219512,0.0012195121951219512,0.0024390243902439024,0.0012195121951219512,0.06463414634146342,0.007317073170731708,0.0,0.9219512195121952
red,1.0,0.07372549019607844,0.000784313725490196,0.07294117647058823,0.000784313725490196,0.0,0.0,0.07137254901960784,0.001568627450980392,0.0,0.9262745098039216
fly,1.0,0.41818181818181815,0.09090909090909091,0.32727272727272727,0.07272727272727272,0.01818181818181818,0.0,0.16363636363636364,0.16363636363636364,0.0,0.5818181818181818
dangerous,1.0,0.11961722488038277,0.009569377990430622,0.11004784688995216,0.001594896331738437,0.006379585326953748,0.001594896331738437,0.05263157894736842,0.05741626794258373,0.0,0.8803827751196173
wings,1.0,0.1716867469879518,0.018072289156626505,0.1536144578313253,0.0,0.018072289156626505,0.0,0.08433734939759036,0.06626506024096386,0.0030120481927710845,0.8283132530120482
sweet,1.0,0.4230769230769231,0.038461538461538464,0.38461538461538464,0.038461538461538464,0.0,0.0,0.38461538461538464,0.0,0.0,0.5769230769230769
hot,1.0,0.2717391304347826,0.08695652173913043,0.18478260869565216,0.021739130434782608,0.043478260869565216,0.021739130434782608,0.11956521739130435,0.06521739130434782,0.0,0.7282608695652174
used_in_cooking,1.0,0.3801418439716312,0.01276595744680851,0.36737588652482267,0.0028368794326241137,0.0028368794326241137,0.0070921985815602835,0.18723404255319148,0.17872340425531916,0.0014184397163120568,0.6198581560283688
juicy,1.0,0.19672131147540983,0.00819672131147541,0.1885245901639344,0.00819672131147541,0.0,0.0,0.16393442622950818,0.02459016393442623,0.0,0.8032786885245902
green,1.0,0.14,0.0018181818181818182,0.13818181818181818,0.0018181818181818182,0.0,0.0,0.12363636363636364,0.014545454545454545,0.0,0.86
made_of_wood,1.0,0.08651911468812877,0.018108651911468814,0.06841046277665996,0.018108651911468814,0.0,0.0,0.030181086519114688,0.03822937625754527,0.0,0.9134808853118712
blue,1.0,0.07971412864211105,0.0005497526113249038,0.07916437603078615,0.0005497526113249038,0.0,0.0,0.07476635514018691,0.0043980208905992305,0.0,0.919736118746564
yellow,1.0,0.07207207207207207,0.0,0.07207207207207207,0.0,0.0,0.0,0.07207207207207207,0.0,0.0,0.9279279279279279
roll,1.0,0.03731343283582089,0.0028702640642939152,0.03444316877152698,0.0008610792192881745,0.0020091848450057405,0.0,0.02267508610792193,0.011768082663605052,0.0,0.9626865671641791
female,1.0,0.2018348623853211,0.027522935779816515,0.1743119266055046,0.009174311926605505,0.01834862385321101,0.0,0.12844036697247707,0.0,0.045871559633027525,0.7981651376146789
cold,1.0,0.04915254237288136,0.003389830508474576,0.04576271186440678,0.001694915254237288,0.0,0.001694915254237288,0.04067796610169491,0.005084745762711864,0.0,0.9508474576271186
round,1.0,0.045454545454545456,0.0038684719535783366,0.041586073500967116,0.0019342359767891683,0.0009671179883945841,0.0009671179883945841,0.04061895551257253,0.0009671179883945841,0.0,0.9545454545454546
wheels,1.0,0.3047619047619048,0.047619047619047616,0.2571428571428571,0.02857142857142857,0.01904761904761905,0.0,0.08571428571428572,0.17142857142857143,0.0,0.6952380952380952
lay_eggs,1.0,0.5,0.0,0.5,0.0,0.0,0.0,0.34615384615384615,0.15384615384615385,0.0,0.5
swim,1.0,0.045294117647058825,0.001176470588235294,0.04411764705882353,0.001176470588235294,0.0,0.0,0.019411764705882354,0.024705882352941175,0.0,0.9547058823529412
median,1.0,0.10306816978425577,0.005402614568059313,0.09460611146036915,0.0016449057929878625,0.00048355899419729207,0.0,0.07341921360612949,0.013623277653760296,0.0,0.8969318302157443
