property,all,all-p,prop-specific,non-specific,p,l,n,i,r,b,u
square,0.8823106446532378,0.8529709553210361,,0.8529709553210361,,,,0.8529709553210361,,,0.8823106446532378
warm,0.7588637931940465,0.7204081164083387,0.5287434114632098,0.7204081164083387,0.4706995487133653,0.5287434114632098,,0.7204081164083387,0.7179880211559561,0.5685296898273304,0.7588637931940465
black,0.7732841317304728,0.7732841317304728,0.7732841317304728,0.7109997068831816,0.7732841317304728,0.6632907662238335,0.4954977100699889,0.7109997068831816,0.6632650193765637,,0.7648877686370387
red,0.7802084962713665,0.7802084962713665,0.7802084962713665,0.7058137186828201,0.7802084962713665,,,0.7058137186828201,0.5323538651455189,,0.7247739782118797
fly,0.8769538227350265,0.8769538227350265,0.8769538227350265,0.8662120059405075,0.8769538227350265,0.70655998293903,,0.8662120059405075,0.8624987756206244,,0.7935824919097867
dangerous,1.0,1.0,0.7818616137939446,1.0,0.7730345008464888,0.7818616137939446,0.7422266965887718,1.0,0.7559614874976479,,1.0
wings,0.8957264957264957,0.8838815820001507,0.7991792899015171,0.8838815820001507,,0.7991792899015171,,0.8838815820001507,0.8185426026337503,0.5651793709093942,0.8957264957264957
sweet,0.8082101471043125,0.8082101471043125,0.7855504968367378,0.8082101471043125,0.7855504968367378,,,0.8082101471043125,,,0.7415124371896317
hot,0.830864042695699,0.830864042695699,0.830864042695699,0.8295152824659642,0.830864042695699,0.777067973463537,0.649195057257983,0.8295152824659642,0.7994252675157578,,0.8186161912255733
used_in_cooking,0.943222201379483,0.943222201379483,0.8546545017720053,0.943222201379483,0.8546545017720053,0.8295021950941005,0.7789738203285033,0.943222201379483,0.8983258021316418,0.6318944086268343,0.8570524315365997
juicy,0.7951604786034037,0.7951604786034037,0.7622234668523276,0.7951604786034037,0.7622234668523276,,,0.7951604786034037,0.7216583953899113,,0.7772549780093416
green,0.8439457878659996,0.8439457878659996,0.8439457878659996,0.7860538225953794,0.8439457878659996,,,0.7860538225953794,0.7524802627864626,,0.8005008121295651
made_of_wood,0.7780606477361621,0.7780606477361621,0.7780606477361621,0.762094919547502,0.7780606477361621,,,0.762094919547502,0.6948929051117938,,0.7756969329322281
blue,1.0,0.851851851851852,0.830070543236673,0.851851851851852,0.830070543236673,,,0.851851851851852,0.7791433591754501,,1.0
yellow,0.840422766262287,0.840422766262287,,0.840422766262287,,,,0.840422766262287,,,0.8388142067652707
roll,0.8887285161587335,0.8382103179176329,0.7744234498939909,0.8382103179176329,0.7744234498939909,0.7023819711753969,,0.7475545081786711,0.8382103179176329,,0.8887285161587335
female,0.8926002852706443,0.8926002852706443,0.8268282117675294,0.8926002852706443,0.8268282117675294,0.7227937198894946,,0.8926002852706443,,0.8236352602031751,0.8445826380729605
cold,0.8127678172443619,0.7317866305783723,0.5358678743074963,0.7317866305783723,0.5113158275161175,,0.5358678743074963,0.7317866305783723,0.6133367260961706,,0.8127678172443619
round,0.8197983322205504,0.7173240039651831,0.7167565491672163,0.7173240039651831,0.7167565491672163,0.6587448494151213,0.6149494377985766,0.7173240039651831,0.46478689751618524,,0.8197983322205504
wheels,0.9053224399580699,0.9053224399580699,0.858004824459644,0.9053224399580699,0.858004824459644,0.8047251148181491,,0.9053224399580699,0.874810518197403,,0.9051821655675215
lay_eggs,0.8065206516952466,0.8065206516952466,,0.8065206516952466,,,,0.8065206516952466,0.764378930547417,,0.7644163981296929
swim,0.9317460317460318,0.7921242703074847,0.6854092531196235,0.7921242703074847,0.6854092531196235,,,0.7644044012952095,0.7921242703074847,,0.9317460317460318
median,0.8421842770641432,0.8345371803066659,0.7818616137939446,0.8188627147851384,0.7791345720037643,0.7227937198894946,0.6320722475282798,0.8073653993997796,0.7601702090225324,0.6002120492270824,0.8192072617230619
