,prop-specific,non-specific,p,l,n,i,r,b,u
square,-0.005402614568059313,-0.031114047968305664,-0.0016449057929878625,-0.00048355899419729207,0.0,-0.009927150114066002,-0.013623277653760296,0.0,0.03730853259604705
warm,0.0005245657875715083,-0.02686690739601691,-0.0007981657421834595,0.004596881310629125,0.0,-0.021768070507060908,-0.0009221768916942499,0.003386960203217612,0.029401785364272626
black,-0.0005245657875715083,-0.022654891948174036,-0.00042539359786591133,0.0019554653960466104,0.0012195121951219512,-0.008785067264666074,-0.006306204483028588,0.0,0.025019389296450867
red,-0.0046183008425691174,-0.02166493498978092,-0.0008605920674976665,-0.00048355899419729207,0.0,-0.0020466645865216543,-0.012054650202779904,0.0,0.029342679588177267
fly,0.0855064763410316,0.23266661581235812,0.07108236693428487,0.01769825918762089,0.0,0.09021715003023414,0.15001308598260335,0.0,-0.3151136483975625
dangerous,0.0041667634223713085,0.015441735429583006,-5.000946124942554e-05,0.005896026332756456,0.001594896331738437,-0.020787634658761073,0.04379299028882344,0.0,-0.01654905509612703
wings,0.012669674588567192,0.059008346370956144,-0.0016449057929878625,0.017588730162429213,0.0,0.010918135791460865,0.05264178258720356,0.0030120481927710845,-0.06861857720369613
sweet,0.03305892389347915,0.29000927315501546,0.0368166326685506,-0.00048355899419729207,0.0,0.3111961710092551,-0.013623277653760296,0.0,-0.3200087532926674
hot,0.08155390717107112,0.09017649723528301,0.020094224641794747,0.04299470187536793,0.021739130434782608,0.04614600378517486,0.051594113650587525,0.0,-0.1686709606505269
used_in_cooking,0.007363342878749197,0.27276977506445355,0.0011919736396362511,0.0023533204384268216,0.0070921985815602835,0.11381482894706199,0.16510012660155887,0.0014184397163120568,-0.2770736741873755
juicy,0.002794106743416097,0.09391847870356526,0.006551815518487548,-0.00048355899419729207,0.0,0.0905152126233787,0.010966886280665934,0.0,-0.09365314169115413
green,-0.003584432749877495,0.04357570672144903,0.00017327602519395563,-0.00048355899419729207,0.0,0.05021715003023415,0.0009221768916942499,0.0,-0.03693183021574431
made_of_wood,0.0127060373434095,-0.02619564868370919,0.016463746118480952,-0.00048355899419729207,0.0,-0.0432381270870148,0.024606098603784977,0.0,0.01654905509612692
blue,-0.0048528619567344096,-0.015441735429583006,-0.0010951531816629587,-0.00048355899419729207,0.0,0.0013471415340574194,-0.009225256763161065,0.0,0.022804288530819727
yellow,-0.005402614568059313,-0.02253403938829708,-0.0016449057929878625,-0.00048355899419729207,0.0,-0.0013471415340574194,-0.013623277653760296,0.0,0.03099609771218359
roll,-0.002532350503765398,-0.060162942688842175,-0.0007838265736996881,0.0015256258508084485,0.0,-0.05074412749820756,-0.0018551949901552435,0.0,0.06575473694843481
female,0.0221203212117572,0.07970581514513544,0.007529406133617643,0.017865064859013718,0.0,0.05502115336634758,-0.013623277653760296,0.045871559633027525,-0.09876669260106541
cold,-0.002012784059584737,-0.04884339959596237,5.000946124942554e-05,-0.00048355899419729207,0.001694915254237288,-0.03274124750443458,-0.008538531891048431,0.0,0.053915627411374345
round,-0.0015341426144809766,-0.053020037959402036,0.00028933018380130574,0.00048355899419729207,0.0009671179883945841,-0.03280025809355696,-0.01265615966536571,0.0,0.05761362432971029
wheels,0.0422164330509883,0.16253674568248797,0.02692652277844071,0.018564060053421757,0.0,0.012295072108156224,0.15780529377481115,0.0,-0.2016937349776491
lay_eggs,-0.005402614568059313,0.4053938885396309,-0.0016449057929878625,-0.00048355899419729207,0.0,0.2727346325477167,0.14022287619239357,0.0,-0.3969318302157443
swim,-0.004226143979824019,-0.05048846440154562,-0.00046843520475256853,-0.00048355899419729207,0.0,-0.05400744890024714,0.01108260469918088,0.0,0.057774052137196885
median,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
median-reference,0.005402614568059313,0.09460611146036915,0.0016449057929878625,0.00048355899419729207,0.0,0.07341921360612949,0.013623277653760296,0.0,0.8969318302157443
