property,all,all-p,prop-specific,non-specific,p,l,n,i,r,b,u
square,0.626194803104147,0.6926188321275528,,0.6926188321275528,,,,0.6926188321275528,,,0.62202296932066
warm,0.5059073400283718,0.5225988706917823,0.4595222208780144,0.5281180775504871,0.4706995487133653,0.45765933290545596,,0.520958452458301,0.5735221464154235,0.46703710196281645,0.5045787369472033
black,0.6153031244806136,0.5953475552921454,0.6139073008125036,0.5940892674602568,0.7732841317304728,0.5934236807247762,0.4954977100699889,0.5907983774742082,0.6231587956703515,,0.6170702240459128
red,0.537008078679014,0.5410953890175167,0.7802084962713665,0.5385242803373679,0.7802084962713665,,,0.5390158456669618,0.516158057840842,,0.5366827550788282
fly,0.7188946708127929,0.7769672476912747,0.8123034521729797,0.7671516353352454,0.8387393194814672,0.70655998293903,,0.784308486585486,0.7499947840850052,,0.6771550061813839
dangerous,0.5923789686403604,0.6544516791775797,0.744923045414823,0.6465846038526019,0.7730345008464888,0.7385692687634193,0.7422266965887718,0.6649369979557956,0.6297615759246739,,0.5839298701098862
wings,0.6129807192150927,0.6555939242125303,0.7498192731393504,0.6445085890446691,,0.7498192731393504,,0.6608153285288492,0.6273604305254978,0.5651793709093942,0.6041481639974422
sweet,0.6895884187860314,0.7506956978378274,0.7855504968367378,0.7472102179379364,0.7855504968367378,,,0.7472102179379364,,,0.6447764141480474
hot,0.6310170260165995,0.6744796326643804,0.7025125074709319,0.6612876915789443,0.7728577388360514,0.699880078237576,0.637432134572524,0.659511656681683,0.6645437555572568,,0.6147996354763827
used_in_cooking,0.6743043148814878,0.7165163968953806,0.7681206891512468,0.7147231975505821,0.845258196504418,0.8088952225618755,0.7209558728457269,0.7285354557828443,0.7009105840764952,0.6318944086268343,0.6484168137837244
juicy,0.638358858676786,0.6832468485582819,0.7622234668523276,0.6798130825454972,0.7622234668523276,,,0.6823228375937285,0.6630813822239556,,0.62736588156295
green,0.5536037965812002,0.5866678028000194,0.8439457878659996,0.5832825661544144,0.8439457878659996,,,0.5736906234685839,0.6648140789839718,,0.5482212839409267
made_of_wood,0.5418118553517925,0.5957229917580454,0.6645002191440734,0.577517255097038,0.6645002191440734,,,0.5951935327499132,0.5635622990552944,,0.5367057345027422
blue,0.6720570368667337,0.6797981628860129,0.830070543236673,0.6787546046891334,0.830070543236673,,,0.676051367269662,0.7247096408201488,,0.6713914066427016
yellow,0.7330189672552158,0.7673272361824252,,0.7673272361824252,,,,0.7673272361824252,,,0.7303542473385393
roll,0.6573452284469753,0.6372445801102962,0.6686386558083371,0.6346284071354594,0.7357888965354583,0.6398599812109994,,0.61958020509223,0.6636237232675364,,0.6581245557013056
female,0.6609671616233632,0.774034278215865,0.7446447828220691,0.7786747248569907,0.8268282117675294,0.7035530683493392,,0.8026994613454406,,0.7114054626893316,0.6323754769677875
cold,0.5220389636875135,0.5328907099431495,0.5235918509118069,0.5335795143158415,0.5113158275161175,,0.5358678743074963,0.5361299460675057,0.5131760603025279,,0.5214779999773289
round,0.5610454632264023,0.5669959433594222,0.6258038670287372,0.5615254388320441,0.6147605904506255,0.6587448494151213,0.6149494377985766,0.5638287374348027,0.46478689751618524,,0.5607621070295916
wheels,0.7245888296684942,0.783680090167079,0.820328759864602,0.7768932994823524,0.8331005449786216,0.801171082193572,,0.8432765199494573,0.7437016892488001,,0.6986858113677451
lay_eggs,0.6820526860289505,0.6963696440794837,,0.6963696440794837,,,,0.7219255808949214,0.6388687862447485,,0.6677357279784171
swim,0.5439669431605538,0.6107493885409143,0.6552529359876882,0.6095626272756671,0.6552529359876882,,,0.5957900887688731,0.6203839075310053,,0.5407966297855307
median,0.6286059145603733,0.6650367784384553,0.744923045414823,0.653936147715773,0.7731593162884809,0.7035530683493392,0.6261907861855502,0.6628761632423223,0.6343151810847112,0.5985368897681143,0.6195465966832865
