,animal,relation,vehicle,bird,object,reptile,food,fish,mammal,all,plant,measure,communication,no-cat,mean,median
glutton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
serpent,0.008014829033065525,0.0,0.0,0.0,0.008014829033065525,0.008590894913094596,0.0,0.0,0.0,0.008015246236893753,0.0,0.0,0.0,0.0,0.0023311285154371,0.0
catfish,0.01899097917680535,0.0,0.0,0.0,0.01899097917680535,0.0,0.02255137631536532,0.020422717044408303,0.0,0.01901174527546299,0.0,0.0,0.0,0.0,0.007140556927774808,0.0
otter,0.0018673060563365181,0.0,0.0,0.0,0.0018673060563365181,0.0,0.0,0.0,0.0,0.0018673024448836563,0.0,0.0,0.0,0.0,0.0004001367541111924,0.0
sunfish,0.024950772166766482,0.0,0.0,0.0,0.024950772166766482,0.0,0.0,0.023270518456582425,0.0,0.024950772166766482,0.0,0.0,0.0,0.0,0.007008773925491562,0.0
cat,0.0010933361329731692,0.0,0.0010754019356732526,0.0,0.0010933361329731692,0.0,0.0,0.0,0.0,0.0010931956617548173,0.0,0.0,0.0,0.0010754019356732526,0.0003879051285034044,0.0
haddock,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mouse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fawn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wolf,0.0010092474417927025,0.0,0.0,0.0,0.0010092474417927025,0.0,0.0,0.0,0.0,0.0010093476870593604,0.0,0.0,0.0,0.0012090536255420783,0.00030263544258477454,0.0
barbet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lynx,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
trout,0.008495490707372507,0.0,0.0,0.0,0.008495490707372507,0.0,0.009405370781635166,0.008722253147892427,0.0,0.0084953944611159,0.0,0.0,0.0,0.0,0.0031152857003848935,0.0
crab,0.008337152149113347,0.0,0.0,0.0,0.008337152149113347,0.0,0.011548873972905927,0.0,0.0,0.008337152149113347,0.0,0.0,0.0,0.0,0.0026114521728747117,0.0
albacore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
guppy,0.024321484196478022,0.0,0.0,0.0,0.024321484196478022,0.0,0.0,0.022107446800213,0.0,0.024285620864805967,0.0,0.0,0.0,0.0,0.006788288289855358,0.0
duckling,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shad,0.02841494412146504,0.0,0.0,0.0,0.02841494412146504,0.0,0.035328539363347546,0.028849610824909517,0.0,0.028417051635070495,0.0,0.0,0.0,0.0,0.010673220719018403,0.0
painter,0.002332138420908046,0.0,0.0,0.0,0.002332138420908046,0.0,0.0,0.0,0.0,0.002332101016697367,0.0,0.0,0.0,0.0,0.0004997412756081042,0.0
bass,0.0018111702126804487,0.0,0.0,0.0,0.0018111702126804487,0.0,0.001893138429116905,0.0021859827134131224,0.0,0.001811168331200907,0.0,0.0,0.0018576669762497976,0.0,0.0008121640625244021,0.0
frog,0.0011084195295490184,0.0,0.0,0.0,0.0011084195295490184,0.0,0.0,0.0,0.0,0.0011084195295490184,0.0,0.0,0.0,0.0,0.00023751847061764678,0.0
pug,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
loach,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shark,0.043761119328309096,0.0,0.0,0.0,0.043761119328309096,0.0,0.0,0.050676216313365184,0.0,0.043744381786311765,0.0,0.0,0.0,0.0,0.012995916911163937,0.0
armadillo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bottlenose,0.005983130372700235,0.0,0.0,0.0,0.005983130372700235,0.0,0.0,0.0,0.0,0.005983130372700235,0.0,0.0,0.0,0.0,0.0012820993655786217,0.0
shrimp,0.0051884565279295145,0.0,0.0,0.0,0.0051884565279295145,0.0,0.006796804164692361,0.0,0.0,0.0051884565279295145,0.0,0.0,0.0,0.0,0.0015972981248914932,0.0
bullhead,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
octopus,0.0039017428893538195,0.0,0.0,0.0,0.0039017428893538195,0.0,0.0,0.0,0.0,0.003901947937737248,0.0,0.0,0.0,0.0,0.0008361024083174919,0.0
toy,0.0013994899287211322,0.0,0.0,0.0,0.0013994899287211322,0.0,0.0,0.0,0.0,0.0013994775554416214,0.0,0.0,0.0,0.0,0.00029988981520599186,0.0
cob,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pony,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
albatross,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mammal,0.00845981109021212,0.0,0.0,0.0,0.00845981109021212,0.0,0.0,0.0,0.009456466602024222,0.008459955486710174,0.0,0.0,0.0,0.0,0.002488288876368474,0.0
gnu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flamingo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
panther,0.001290801032068623,0.0,0.0,0.0,0.001290801032068623,0.0,0.0,0.0,0.0,0.0012907721610168133,0.0,0.0,0.0,0.0,0.00027659815893957566,0.0
darter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reindeer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mankind,0.0019310397151381515,0.0,0.0,0.0,0.0019310397151381515,0.0,0.0,0.0,0.0,0.0019323484873610835,0.0,0.0,0.0,0.0,0.0004138877084026705,0.0
sheldrake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cod,0.00020262090588933022,0.0,0.0,0.0,0.00020262090588933022,0.0,0.0,0.00019716425435192336,0.0,0.0002026203618030068,0.0,0.0,0.0,0.0,5.7501887709542183e-05,0.0
hippo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bluefish,0.036842210375639256,0.0,0.0,0.0,0.036842210375639256,0.0,0.041199137497163904,0.03997924104527138,0.0,0.036842210375639256,0.0,0.0,0.0,0.0,0.01369321497638236,0.0
whiting,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
leopard,0.0027272823093196976,0.0,0.0,0.0,0.0027272823093196976,0.0,0.0,0.0,0.0,0.0027274444022817278,0.0,0.0,0.0,0.0,0.0005844292157800802,0.0
beaver,0.002117184270440177,0.0,0.0,0.0,0.002117184270440177,0.0,0.0,0.0,0.0,0.002117185792375811,0.0,0.0,0.0,0.0,0.00045368245237544034,0.0
whale,0.022588526109129186,0.0,0.0,0.0,0.022588526109129186,0.0,0.0,0.0,0.02683713002840655,0.022593959848587447,0.0,0.0,0.0,0.0,0.006757724435375169,0.0
retriever,0.001365445870006093,0.0,0.0,0.0,0.001365445870006093,0.0,0.0,0.0,0.0,0.001365445870006093,0.0,0.0,0.0,0.0,0.00029259554357273423,0.0
dog,0.0037827933431247643,0.0,0.0,0.0,0.0037827933431247643,0.0,0.003910516675005861,0.0,0.004277075668208761,0.003782779223974897,0.0,0.0,0.0,0.004145278741969213,0.0016915169282434475,0.0
duck,0.0008152991429569173,0.0,0.0,0.0007166192617770084,0.0008152991429569173,0.0,0.0008672997325531462,0.0,0.0,0.0008152986853679098,0.0,0.0007388554924445458,0.0,0.0,0.00034061938986117466,0.0
seahorse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
boa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bay,0.000933245497722995,0.0,0.0,0.0,0.000933245497722995,0.0,0.0,0.0,0.0010974067741848807,0.0009332455499259816,0.0009751584495265703,0.0,0.0,0.0,0.0003480215549345302,0.0
primate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
deer,0.006392889603328879,0.0,0.0,0.0,0.006392889603328879,0.0,0.0,0.0,0.00770650716646094,0.006392904740042604,0.0,0.0,0.0,0.0,0.0019203707937972359,0.0
bluefin,0.0005181563313947721,0.0,0.0,0.0,0.0005181563313947721,0.0,0.0,0.0006274651825939938,0.0,0.0005181561749470944,0.0,0.0,0.0,0.0,0.00015585243002361657,0.0
