,context,n_concepts,mean_tfidf,mean_diff,evidence
0,axe,8,0.11,0.11,-
1,published,8,0.01,0.0,-
2,blade,8,0.14,0.14,-
3,repeatedly,8,0.01,0.01,-
4,knife,8,0.13,0.13,-
5,story,8,0.01,0.01,-
6,back,8,0.02,0.01,-
7,pulled,8,0.01,0.01,-
8,and,8,0.04,0.01,-
9,by,8,0.02,0.01,-
10,cutting,8,0.03,0.03,-
11,hand,8,0.04,0.03,-
12,titled,7,0.01,0.01,-
13,type,7,0.01,0.0,-
14,himself,7,0.01,0.01,-
15,let,7,0.01,0.01,-
16,fall,7,0.01,0.0,-
17,me,7,0.0,0.0,-
18,father,7,0.01,0.0,-
19,directed,7,0.01,0.0,-
20,dangerous,6,0.01,0.0,-
