,context,n_concepts,mean_tfidf,mean_diff,evidence
0,sugar,18,0.03,0.03,-
1,cake,18,0.05,0.05,-
2,brand,17,0.02,0.02,-
3,sweet,17,0.02,0.02,-
4,foods,17,0.01,0.01,-
5,served,16,0.01,0.01,-
6,containing,16,0.01,0.0,-
7,eaten,16,0.02,0.02,-
8,ingredients,16,0.02,0.02,-
9,taste,16,0.01,0.01,-
10,apple,16,0.03,0.03,-
11,soft,16,0.01,0.01,-
12,cream,16,0.09,0.09,-
13,milk,16,0.07,0.06,-
14,wine,15,0.02,0.02,-
15,eating,15,0.01,0.01,-
16,name,15,0.01,0.0,-
17,items,15,0.01,0.0,-
18,restaurant,15,0.01,0.01,-
19,known,15,0.01,0.0,-
20,cold,7,0.02,0.01,-
