,context,n_concepts,mean_tfidf,mean_diff,evidence
0,bird,42,0.05,0.04,-
1,birds,36,0.04,0.03,-
2,hawk,36,0.03,0.03,-
3,eagle,35,0.02,0.02,-
4,winged,35,0.02,0.01,-
5,owl,33,0.04,0.04,-
6,billed,32,0.04,0.04,-
7,headed,32,0.04,0.04,-
8,flight,32,0.02,0.02,-
9,tail,32,0.01,0.01,-
10,include,32,0.01,0.01,-
11,black,31,0.07,0.06,-
12,falcon,31,0.02,0.02,-
13,raven,31,0.02,0.02,-
14,fly,31,0.02,0.01,-
15,nests,30,0.03,0.03,-
16,nest,30,0.02,0.02,-
17,jay,29,0.01,0.01,-
18,flies,29,0.02,0.02,-
19,crow,29,0.02,0.02,-
20,fly,31,0.02,0.01,-
21,flies,29,0.02,0.02,-
22,flown,26,0.02,0.02,-
23,flew,26,0.02,0.02,-
24,flying,20,0.04,0.03,-
