,context,n_concepts,mean_tfidf,mean_diff,evidence
0,meat,9,0.03,0.03,-
1,egg,9,0.02,0.02,-
2,dish,8,0.06,0.06,-
3,other,8,0.01,0.0,-
4,hot,8,0.01,0.01,-
5,variation,8,0.01,0.01,-
6,crushed,8,0.01,0.01,-
7,adding,8,0.01,0.01,-
8,eaten,8,0.05,0.05,-
9,rice,8,0.02,0.01,-
10,wet,8,0.01,0.01,-
11,topped,8,0.01,0.01,-
12,filling,8,0.02,0.02,-
13,slice,7,0.01,0.01,-
14,simply,7,0.01,0.01,-
15,small,7,0.01,0.0,-
16,slightly,7,0.0,0.0,-
17,irish,7,0.0,0.0,-
18,filled,7,0.01,0.01,-
19,mixture,7,0.02,0.01,-
20,cooking,6,0.02,0.02,-
21,cook,4,0.01,0.0,-
22,cooked,3,0.04,0.04,-
