context,evidence_type,categories
stepped, ,relation
struck, ,animal relation
hits, ,communication relation
building, ,relation
closing, ,relation
outside, ,relation
eventually, ,relation
harder, ,relation
moment, ,relation
guide, ,relation
air, ,relation
items, ,relation
moves, ,relation
unless, ,relation
heavy, ,relation
essentially, ,relation
120, ,relation
passed, ,relation
project, ,relation
try, ,relation
yet, ,relation
allowing, ,relation
bay, ,relation
concluded, ,relation
mass, ,relation
case, ,relation
eight, ,communication relation
sunday, ,relation
1979, ,relation
46, ,relation
impossible, ,relation
spark, ,relation
congress, ,relation
congressional, ,relation
stunned, ,relation
signed, ,relation
investigators, ,relation
tipped, ,relation
renewed, ,relation
travel, ,relation
spoke, ,relation
april, ,relation
system, ,relation
meeting, ,relation
unknown, ,communication no-cat relation
neither, ,relation
via, ,relation
51, ,relation
damage, ,communication relation
striking, ,relation
war, ,relation
al, ,relation
accompanying, ,relation
refused, ,relation
guided, ,relation
converted, ,relation
agree, ,relation
height, ,relation
entire, ,relation
drive, ,relation
job, ,relation
numerous, ,relation
direction, ,relation
numbers, ,relation
camp, ,communication relation
fly, ,relation
thursday, ,relation
launched, ,relation
elsewhere, ,relation
led, ,relation
testing, ,relation
reach, ,relation
planned, ,relation
plans, ,relation
official, ,relation
training, ,relation
knock, ,relation
transferred, ,relation
information, ,relation
working, ,relation
built, ,relation
crew, ,animal relation
successful, ,relation
lives, ,relation
hundreds, ,relation
headed, ,relation
despite, ,relation
occurred, ,relation
five, ,relation
four, ,relation
told, ,relation
plan, ,relation
to, ,relation
for, ,relation
one, ,criminal relation
believed, ,communication relation
it, ,relation
riding, ,relation
off, ,relation
kind, ,relation
250, ,relation
appeared, ,communication relation
middle, ,relation
between, ,relation
10, ,relation
whether, ,relation
rear, ,relation
wrong, ,relation
aim, ,relation
while, ,relation
called, ,relation
survive, ,relation
designated, ,relation
gray, ,relation
display, ,relation
nor, ,relation
550, ,relation
bearing, ,relation
door, ,relation
deter, ,relation
powered, ,communication relation
steel, ,relation
1963, ,relation
george, ,relation
350, ,relation
desperate, ,communication relation
housing, ,relation
shoot, ,object relation all
supporters, ,relation
carrier, ,relation
involve, ,communication relation
succeeded, ,relation
studying, ,relation
issues, ,relation
involving, ,relation
army, ,relation
sky, ,relation
poised, ,relation
threat, ,relation
written, ,relation
eliminated, ,relation
limited, ,relation
complete, ,relation
prepared, ,no-cat relation
concerned, ,relation
meanwhile, ,relation
deadline, ,relation
bringing, ,relation
ready, ,relation
intended, ,relation
chose, ,relation
source, ,relation
highly, ,no-cat relation
serious, ,relation
alley, ,relation
spotted, ,relation
fatal, ,communication object relation
lake, ,relation
captured, ,communication criminal relation
pit, ,relation
in, ,relation
pound, ,relation
swim, ,relation
student, ,relation
at, ,criminal relation
road, ,relation
apartment, ,relation
encounter, ,relation
12, ,relation
stick, ,relation
recovered, ,relation
belt, ,relation
resemble, ,relation
suits, ,relation
existed, ,relation
after, ,relation
also, ,relation
tie, ,relation
possession, ,relation
alive, ,communication relation
derby, ,relation
albert, ,relation
submarine, ,relation
fisherman, ,relation
when, ,relation
managed, ,relation
fear, ,relation
technically, ,relation
catching, ,relation
southeastern, ,relation
crime, ,relation
somewhere, ,relation
monday, ,relation
st, ,relation
surfaced, ,communication relation
saint, ,relation
constructed, ,relation
sink, ,relation
bridge, ,relation
waters, ,relation
shell, ,relation
harbor, ,relation
releases, ,relation
two, ,relation
set, ,relation
releasing, ,relation
survived, ,communication no-cat relation
california, ,relation
dozens, ,relation
died, ,animal relation
under, ,relation
wooden, ,relation
tank, ,relation
beach, ,relation
show, ,relation
site, ,relation
waste, ,relation
certainly, ,relation
emerging, ,relation
11, ,relation
will, ,relation
authorities, ,criminal animal relation
tears, ,relation
lawyers, ,relation
chamber, ,relation
incoming, ,relation
began, ,relation
materials, ,relation
signing, ,relation
afternoon, ,relation
fierce, ,relation
path, ,relation
el, ,relation
surprised, ,relation
room, ,relation
career, ,relation
reportedly, ,relation
consistent, ,relation
thank, ,relation
ceiling, ,relation
warning, ,no-cat relation
laying, ,relation
port, ,relation
photos, ,relation
no, ,relation
maintenance, ,relation
fall, ,relation
hold, ,relation
resist, ,relation
roof, ,relation
sites, ,relation
above, ,relation
design, ,relation
grow, ,no-cat relation
walking, ,relation
join, ,relation
joined, ,relation
word, ,relation
drawn, ,relation
pointed, ,relation
47, ,relation
encountered, ,relation
night, ,relation
rescue, ,relation
shut, ,relation
spokeswoman, ,relation
late, ,relation
unlikely, ,relation
stay, ,relation
saved, ,relation
german, ,relation
requires, ,relation
since, ,relation
earth, ,communication relation
danger, ,communication relation
order, ,relation
chances, ,relation
sent, ,animal relation
placed, ,relation
designed, ,relation
type, ,weapon no-cat relation
raised, ,relation
national, ,relation
end, ,relation
fight, ,relation
shootout, ,relation
cadillac, ,relation
scout, ,relation
climate, ,relation
wounding, ,relation
swing, ,relation
gang, ,relation
congo, ,relation
truck, ,relation
attorneys, ,relation
petersburg, ,relation
satisfied, ,relation
inspect, ,relation
intend, ,relation
documents, ,relation
prosecutors, ,relation
sticking, ,relation
contract, ,relation
defunct, ,relation
ruled, ,relation
suggestions, ,relation
warfare, ,relation
tied, ,relation
absence, ,relation
answering, ,relation
bruno, ,relation
oversees, ,relation
nightmare, ,relation
allies, ,relation
capitol, ,relation
occasion, ,relation
worried, ,relation
aug, ,relation
gather, ,relation
360, ,relation
wreckage, ,relation
traced, ,communication relation
victory, ,relation
experimental, ,relation
desire, ,relation
arrived, ,relation
spent, ,relation
midnight, ,relation
entry, ,relation
staff, ,relation
boys, ,relation
scrap, ,relation
pitch, ,relation
extended, ,relation
bow, ,relation
par, ,relation
germany, ,relation
officially, ,relation
member, ,relation
68, ,relation
opposed, ,relation
message, ,relation
drove, ,relation
luxury, ,relation
constant, ,relation
ripped, ,relation
positive, ,relation
signs, ,relation
haul, ,relation
ten, ,relation
installed, ,relation
rifle, ,relation
fought, ,relation
anywhere, ,relation
completed, ,relation
tens, ,relation
equipped, ,weapon relation
partial, ,relation
fault, ,relation
avenue, ,relation
walls, ,relation
approach, ,relation
mini, ,relation
wanted, ,animal relation
84, ,relation
returned, ,relation
theater, ,relation
homes, ,relation
1992, ,relation
press, ,relation
2005, ,relation
owners, ,relation
responsible, ,no-cat relation
stayed, ,relation
purchased, ,relation
forced, ,relation
hurt, ,relation
paris, ,relation
location, ,relation
workers, ,relation
unique, ,relation
650, ,relation
sole, ,relation
engines, ,relation
150, ,relation
seven, ,relation
course, ,relation
safety, ,relation
turning, ,relation
sponsored, ,relation
following, ,relation
complex, ,relation
opening, ,relation
northeast, ,relation
dirty, ,relation
week, ,relation
mountain, ,relation
went, ,relation
allegedly, ,relation
setting, ,relation
attempt, ,relation
enemy, ,relation
reached, ,relation
done, ,relation
determined, ,relation
massive, ,no-cat relation
tested, ,relation
control, ,no-cat relation
news, ,relation
country, ,no-cat relation
joining, ,relation
arsenal, ,relation
french, ,relation
match, ,relation
announced, ,relation
new, ,relation
statement, ,relation
tuesday, ,relation
move, ,relation
years, ,relation
final, ,relation
deal, ,relation
goal, ,relation
europe, ,no-cat relation
until, ,relation
international, ,relation
ground, ,relation
hitting, ,relation
japan, ,relation
could, ,relation
charge, ,relation
decision, ,relation
earlier, ,relation
july, ,relation
fired, ,relation
hit, ,animal relation
suspended, ,relation
both, ,relation
according, ,relation
washington, ,relation
agreement, ,relation
2004, ,relation
believes, ,no-cat relation
yards, ,relation
ahead, ,relation
supported, ,relation
terms, ,relation
nuclear, ,relation
months, ,relation
russian, ,relation
mark, ,relation
negotiations, ,relation
1998, ,no-cat relation
2003, ,relation
landing, ,relation
claimed, ,relation
27, ,relation
secured, ,relation
moscow, ,relation
france, ,relation
stage, ,relation
surprise, ,relation
advanced, ,communication relation
recent, ,no-cat relation
allow, ,relation
operates, ,relation
party, ,relation
troubled, ,relation
high, ,relation
replace, ,relation
presidents, ,relation
details, ,relation
passing, ,relation
claiming, ,relation
tel, ,relation
groups, ,relation
injuries, ,relation
heading, ,relation
successfully, ,relation
problems, ,relation
sources, ,relation
achieve, ,relation
era, ,relation
preparing, ,relation
jan, ,relation
staged, ,communication relation
shortly, ,relation
meters, ,relation
decisions, ,relation
believe, ,communication relation
target, ,no-cat relation
operated, ,relation
endorsed, ,relation
alleged, ,criminal relation
blow, ,relation
slammed, ,relation
korean, ,relation
planning, ,relation
claims, ,relation
responsibility, ,relation
range, ,relation
quickly, ,relation
exploded, ,relation
linking, ,relation
firing, ,relation
intends, ,relation
allegations, ,relation
pacific, ,relation
killing, ,relation
afp, ,relation
pakistan, ,relation
defense, ,relation
technical, ,relation
station, ,relation
fire, ,weapon relation
900, ,relation
disclose, ,relation
formal, ,relation
none, ,relation
conducted, ,relation
postponed, ,relation
launch, ,relation
targets, ,communication no-cat relation
bomb, ,relation
negotiated, ,relation
wings, ,relation
showing, ,relation
space, ,relation
attempting, ,relation
attempted, ,relation
speed, ,relation
