,food,communication,warm,no-cat,all,relation,object,measure,mean
casserole,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
soup,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
juice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tea,0.0006656812686314894,0.0,0.0,0.0005360832909673129,0.0005969703748629089,0.0007395200078917745,0.0005824619213178297,0.0,0.0003900896079589144
water,0.0027414238482444306,0.0,0.0,0.0,0.002633178376932214,0.002989124270871691,0.0025789368349496185,0.0,0.0013678329163747443
quesadilla,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
drink,0.00031311999831272274,0.0,0.0,0.0,0.0002987860944644488,0.00033903900041548006,0.0,0.0,0.00011886813664908146
coffee,0.0010322945119802288,0.0,0.0,0.0008194150875975504,0.0009274526753093605,0.0011235777479474923,0.0009098666871053858,0.0,0.0006015758387425022
tortilla,0.0014330498029712865,0.0,0.0,0.0,0.0012116335769097807,0.0,0.0,0.0,0.0003305854224851334
cake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lemonade,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ice,0.0012512002797617652,0.0,0.0,0.0,0.0008651666355543909,0.0,0.0008459633939294715,0.0,0.0003702912886557034
beer,0.002359689973694539,0.0,0.0,0.0,0.0014753633235364172,0.0017498595209454462,0.0,0.0,0.0006981141022720503
candy,0.0005446312598863355,0.0,0.0,0.0,0.00039572009216957456,0.0,0.0,0.0,0.00011754391900698876
sock,0.0,0.0,0.0,0.0,0.003848189815278716,0.0,0.003892586337505675,0.0,0.0009675970190980488
wig,0.0,0.0,0.0,0.0,0.0018747309259830706,0.0,0.0019115102639307095,0.0,0.0004732801487392225
smoke,0.0,0.0,0.0,0.0,0.0009042629324168409,0.001042682645975107,0.0,0.0,0.00024336819729899349
sheepskin,0.0,0.0,0.0,0.0,0.03249094181600445,0.02648816105783629,0.0,0.0,0.007372387859230093
head,0.0,0.004090991889588978,0.0,0.0038222158775071406,0.004391851616857,0.004384899593579481,0.00438353230249053,0.004002977058610344,0.003134558542329184
nose,0.0,0.0,0.0,0.0,0.001543983123011867,0.0,0.0015837680045451509,0.0014700131148418921,0.0005747205302998637
space,0.0,0.018688338993151685,0.0,0.0,0.016655588874148426,0.0,0.016652935666358292,0.018181698794303786,0.008772320290995273
problem,0.0,0.0006565099825118713,0.0,0.0,0.000663533575845424,0.0,0.0,0.0,0.0001650054447946619
idea,0.0,0.0006374436116486955,0.0,0.0,0.0007347211570190989,0.0,0.0,0.0,0.00017152059608347429
can,0.0,0.0006470457654444986,0.0,0.0,0.0007359537869121491,0.0,0.0007243772621197883,0.0007644675031546227,0.00035898053970388234
vinyl,0.0,0.0,0.0033888591515526595,0.0,0.0031083053031923298,0.0,0.0,0.0,0.0008121455568431237
people,0.0,0.0,0.0014326550899553374,0.0,0.0016023144211149342,0.0,0.0,0.0,0.0003793711888837839
flame,0.0,0.0,0.002228088716075738,0.0,0.0018073844444393705,0.0,0.0,0.0,0.0005044341450643886
river,0.0,0.0,0.006881638301017879,0.0,0.005471341904134402,0.0,0.0,0.0,0.001544122525644035
icicle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
feeling,0.0,0.0,0.0014647314932578694,0.0,0.001485733979678995,0.0,0.0,0.0,0.00036880818411710804
skirt,0.0,0.0,0.0,0.006201607474523502,0.007862745353132038,0.0,0.008251580042043882,0.0,0.0027894916087124275
dragon,0.0,0.0,0.0,0.001107903069788061,0.001097748197997096,0.0,0.0010975182282056551,0.0,0.00041289618699885157
sword,0.0,0.0,0.0,0.01881108852414517,0.014869724635916601,0.0,0.014715763868267508,0.0,0.00604957212854116
glass,0.0,0.0,0.0,0.0,0.000475713513892324,0.0,0.000479264899282461,0.0,0.00011937230164684812
boot,0.0,0.0,0.0,0.0,0.0006515364656514036,0.0,0.0006507685747793921,0.0,0.00016278813005384944
corset,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shawl,0.0,0.0,0.0,0.0,0.010870536988048006,0.0,0.011117618014229431,0.0,0.0027485193752846797
sun,0.0,0.0,0.0,0.0,0.0012142696973756403,0.0,0.0013094569720467277,0.0,0.000315465833677796
feather,0.0,0.0,0.0,0.0,0.008792704553835878,0.010156674259288226,0.009345574592523305,0.0,0.003536869175705926
toilet,0.0,0.0,0.0,0.0,0.0010359049413435281,0.0,0.0010531254762873566,0.0,0.0002611288022038606
clothing,0.0,0.0,0.0,0.0,0.0019289200155277195,0.0,0.0019350054415489912,0.0,0.0004829906821345888
bodice,0.0,0.0,0.0,0.0,0.00317817173291859,0.0,0.0032803568430300723,0.0,0.0008073160719935827
dad,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
underwear,0.0,0.0,0.0,0.0,0.0011746927913341412,0.0,0.001206756548881998,0.0,0.0002976811675270174
linen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cape,0.0,0.0,0.0,0.0,0.04836076319283138,0.0,0.04823766631085255,0.0,0.012074803687960491
legging,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gown,0.0,0.0,0.0,0.0,0.005222568562931565,0.0,0.005514846551383575,0.0,0.0013421768892893926
footwear,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sunglass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
parka,0.0,0.0,0.0,0.0,0.010037051706142034,0.0,0.010307190517586764,0.0,0.0025430302779660997
necktie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mask,0.0,0.0,0.0,0.0,0.033839635841284285,0.0,0.03516591954060859,0.0,0.00862569442273661
uniform,0.0,0.0,0.0,0.0,0.0016157094165990627,0.0,0.0016580265685963692,0.0,0.000409216998149429
stocking,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kimono,0.0,0.0,0.0,0.0,0.014650608262663619,0.0,0.015226983487385245,0.0,0.003734698968756108
jumpsuit,0.0,0.0,0.0,0.0,0.03324790998479573,0.0,0.03425936459064839,0.0,0.008438409321930514
headdress,0.0,0.0,0.0,0.0,0.008384444293590962,0.0,0.009025838093295003,0.0,0.002176285298360746
comforter,0.0,0.0,0.0,0.0,0.014672479892307896,0.0,0.013668794950985597,0.0,0.0035426593554116867
calfskin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vapor,0.0,0.0,0.0,0.0,0.0015429489943084356,0.0015496877485893675,0.0,0.0,0.0003865795928622254
dress,0.0,0.0,0.0,0.0,0.0037152640095913817,0.0,0.0037973221576165827,0.0,0.0009390732709009956
denim,0.0,0.0,0.0,0.0,0.0027660655183799152,0.0,0.002901046750923489,0.0,0.0007083890336629256
toe,0.0,0.0,0.0,0.0,0.00024468938984911607,0.0,0.0002510719366370904,0.0,6.197016581077581e-05
tunic,0.0,0.0,0.0,0.0,0.0172203214157739,0.0,0.016600453987861842,0.0,0.004227596925454468
coat,0.0,0.0,0.0,0.0,0.005498400168711854,0.0,0.0057159038304429415,0.0,0.0014017879998943494
bathrobe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
glove,0.0,0.0,0.0,0.0,0.0004923601600482251,0.0,0.0004896260240282969,0.0,0.00012274827300956526
heat,0.0,0.0,0.0,0.0,0.0004450956654262462,0.0,0.0004407689580931958,0.0,0.00011073307793993024
waistcoat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
turtleneck,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
garment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kettle,0.0,0.0,0.0,0.0,0.010818120159725208,0.0,0.010318070491831489,0.010240055489469314,0.003922030767628251
jungle,0.0,0.0,0.0,0.0,0.0004227993796714629,0.0,0.0004210963100985282,0.0,0.00010548696122124889
blanket,0.0,0.0,0.0,0.0,0.004554935976135531,0.0,0.004573327891813471,0.0,0.0011410329834936252
blouse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
robe,0.0,0.0,0.0,0.0,0.014061495013571674,0.0,0.014705408727677458,0.0,0.0035958629676561414
sweater,0.0,0.0,0.0,0.0,0.0051043356943975245,0.0,0.0053749421980938674,0.0,0.001309909736561424
vest,0.0,0.0,0.0,0.0,0.000979872331575475,0.0,0.0010059031264218617,0.0,0.0002482219322496671
helmet,0.0,0.0,0.0,0.0,0.006912084726644501,0.0,0.0070137761615068905,0.0,0.0017407326110189239
outfit,0.0,0.0,0.0,0.0,0.017925105928693737,0.0,0.017595471133007214,0.0,0.0044400721327126184
nightgown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
taffeta,0.0,0.0,0.0,0.0,0.005217470442769905,0.0,0.0052590418223115755,0.0,0.0013095640331351852
leather,0.0,0.0,0.0,0.0,0.0021036432972022217,0.0017897781191661436,0.0,0.0,0.00048667767704604567
stove,0.0,0.0,0.0,0.0,0.0009758135821252823,0.0,0.0009556055463860489,0.0,0.0002414273910639164
deerskin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flannel,0.0,0.0,0.0,0.0,0.0021043883955825064,0.0,0.002215578681368389,0.0,0.0005399958846188619
poncho,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wool,0.0,0.0,0.0,0.0,0.014420446723091339,0.01459816575476557,0.014546010972680356,0.0,0.005445577931317158
waist,0.0,0.0,0.0,0.0,0.002418478257079495,0.0,0.002439495446391017,0.0,0.000607246712933814
candle,0.0,0.0,0.0,0.0,0.002210430313203663,0.0,0.0021382254067557993,0.002397495360416887,0.0008432688850470436
jacket,0.0,0.0,0.0,0.0,0.003966025390508495,0.003483116263610203,0.004169705365604437,0.0,0.0014523558774653918
turban,0.0,0.0,0.0,0.0,0.004272975685278426,0.0,0.004417025300279626,0.0,0.0010862501231947565
chiffon,0.0,0.0,0.0,0.0,0.0016007280415658283,0.0,0.0016879306325997174,0.0,0.0004110823342706932
