,food,communication,warm,no-cat,all,relation,object,measure,mean
casserole,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
soup,0.0005284282807662059,0.0,0.0,0.0,0.000541993945882276,0.0005212510132943353,0.0,0.0,0.00019895915499285212
juice,0.0002278068518377589,0.0,0.0,0.0,0.00022670102082721785,0.00022799748863205218,0.0,0.0,8.531317016212862e-05
tea,0.002533630290024176,0.0,0.0,0.003390508622224597,0.0026863666868830903,0.0025843646554593166,0.002742287118930404,0.0,0.001742144671690198
water,0.0005269724391141987,0.0,0.0,0.0,0.0005984496311209577,0.0005275731018795797,0.0006132264802506641,0.0,0.000283277706545675
quesadilla,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
drink,0.0015890093342886959,0.0,0.0,0.0,0.0017927165667866926,0.001579764171617024,0.0,0.0016054925019650104,0.0008208728218321778
coffee,0.0013096621296233314,0.0,0.0,0.0017274889720136281,0.0013911790129640404,0.001308837529058905,0.0014279134850839917,0.0,0.000895635141092987
tortilla,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cake,0.001816858194500618,0.0,0.0,0.0,0.0019208601813849942,0.0,0.0019307195663870592,0.0,0.0007085547427840839
lemonade,0.0028162470447537233,0.0,0.0,0.0,0.001844834869546176,0.0020767253125613234,0.0,0.0,0.0008422259033576528
ice,0.0020937645648041966,0.0,0.0,0.0,0.001774791528328966,0.0,0.0017084574179796082,0.0,0.0006971266888890963
beer,0.006581194248382166,0.0,0.0,0.0,0.005044235064500636,0.0052866062665595315,0.0,0.0,0.0021140044474302917
candy,0.002278471423159766,0.0,0.0,0.0,0.0020294375624011376,0.0,0.0,0.0,0.000538488623195113
sock,0.0,0.0,0.0,0.0,0.001924094907639358,0.0,0.0020362970392439005,0.0,0.0004950489933604073
wig,0.0,0.0,0.0,0.0,0.0018747309259830706,0.0,0.001999905642899953,0.0,0.000484329571110378
smoke,0.0,0.0,0.0,0.0,0.00036170517296673635,0.0003238944358337805,0.0,0.0,8.56999511000646e-05
sheepskin,0.0,0.2585591310913094,0.0,0.0,0.29241847634404006,0.18513378000721809,0.0,0.0,0.09201392343032094
head,0.0,0.0025175334705162945,0.0,0.00330584064707281,0.002702677918065846,0.0020955481229596065,0.0028223035198945367,0.0024633704976063653,0.0019884092720144327
nose,0.0,0.0,0.0,0.0,0.0006175932492047468,0.0,0.0006628029425949367,0.0005880052459367568,0.00023355017971705502
space,0.0,0.0,0.0,0.0,0.00023132762325206148,0.0,0.00024198652295485463,0.0002525235943653304,9.072971757153082e-05
problem,0.0,0.00013130199650237425,0.0,0.0,0.0001361164105013905,0.0,0.0,0.0,3.342730087547059e-05
idea,0.0,0.000849924815531594,0.0,0.0,0.0010047982524013818,0.0,0.0,0.0,0.00023184038349162198
can,0.0,0.000970568648166748,0.0,0.0,0.0011322944845905249,0.0,0.0010971819665291762,0.0011467012547319343,0.0005433432942522979
vinyl,0.0,0.0,0.0,0.0,0.0010361017677307767,0.0,0.0,0.0,0.0001295127209663471
people,0.0,0.0,0.0008318642457805184,0.0,0.0009303761154860909,0.0,0.0,0.0,0.00022028004515832616
flame,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
river,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
icicle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
feeling,0.0,0.0,0.0,0.0,0.00030478152671653585,0.0,0.0,0.0,3.809769083956698e-05
skirt,0.0,0.0,0.0,0.001936920648805683,0.0017472767451404531,0.0,0.0019184808764178996,0.0,0.0007003347837955045
dragon,0.0,0.0,0.0,0.0,0.000548874098998548,0.0,0.0005741357865535408,0.0,0.0001403762356940111
sword,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
glass,0.0,0.0,0.0,0.0,0.0007135702708384859,0.0,0.0007521418492526721,0.0007126883780553823,0.0002723000622683175
boot,0.0,0.0,0.0,0.0,0.0006515364656514036,0.0,0.000680862545957244,0.0,0.00016654987645108095
corset,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shawl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sun,0.0,0.0,0.0,0.0,0.005077855098116315,0.0,0.005729137563942752,0.0,0.0013508740827573834
feather,0.0,0.0,0.0,0.0,0.0630143826358238,0.056527539223745774,0.0700738670538395,0.0,0.023701973614176135
toilet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clothing,0.0,0.0,0.0,0.0,0.023468526855587254,0.0,0.024631262458372737,0.0,0.006012473664244998
bodice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dad,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
underwear,0.0,0.0,0.0,0.0,0.02114447024401454,0.0,0.022726106676273207,0.0,0.005483822115035968
linen,0.0,0.0,0.0,0.0,0.004084687226714551,0.00314216439028117,0.004298265213305904,0.0,0.001440639603787703
cape,0.0,0.0,0.0,0.0,0.00019901548639025257,0.0,0.0002076887090195621,0.0,5.083802442622683e-05
legging,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
footwear,0.0,0.0,0.0,0.0,0.005771287575047551,0.0,0.006055937714057481,0.0,0.001478403161138129
sunglass,0.0,0.0,0.0,0.0,0.003949887838054123,0.0,0.00423118825603594,0.0,0.0010226345117612578
parka,0.0,0.0,0.0,0.0,0.010037051706142034,0.0,0.010783833530759361,0.0,0.0026026106546126744
necktie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mask,0.0,0.0,0.0,0.0,0.001276967390237143,0.0,0.0013883820035678147,0.0,0.0003331686742256197
uniform,0.0,0.0,0.0,0.0,0.007001407471929272,0.0,0.00751703296103665,0.0,0.0018148050541207403
stocking,0.0,0.0,0.0,0.0,0.0073595430525215345,0.0,0.007818551119791307,0.0,0.001897261771539105
kimono,0.0,0.0,0.0,0.0,0.0073253041313318095,0.0,0.00796556805772664,0.0,0.0019113590236323062
jumpsuit,0.0,0.0,0.0,0.0,0.002557531537291979,0.0,0.002757203511954333,0.0,0.000664341881155789
headdress,0.0,0.0,0.0,0.0,0.005589629529060642,0.0,0.006295484387499775,0.0,0.0014856392395700521
comforter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
calfskin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vapor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dress,0.0,0.0,0.0,0.0,0.013622634701835069,0.0,0.014567389931842024,0.0,0.0035237530792096364
denim,0.0,0.0,0.0,0.0,0.022128524147039322,0.0,0.024281615963946596,0.0,0.00580126751387324
