,context,n_concepts,mean_tfidf,mean_diff,evidence
0,bird,40,0.05,0.05,-
1,birds,36,0.04,0.03,-
2,owl,32,0.04,0.04,-
3,nest,30,0.02,0.02,-
4,nests,30,0.03,0.03,-
5,billed,29,0.04,0.04,-
6,include,29,0.01,0.01,-
7,eurasian,28,0.05,0.05,-
8,black,28,0.07,0.06,-
9,headed,28,0.05,0.04,-
10,nesting,28,0.02,0.01,-
11,eagle,28,0.02,0.02,-
12,hawk,27,0.04,0.04,-
13,winged,27,0.02,0.02,-
14,white,27,0.06,0.04,-
15,breeds,26,0.02,0.02,-
16,crow,26,0.02,0.02,-
17,common,26,0.03,0.02,-
18,swallow,25,0.01,0.01,-
19,jay,25,0.01,0.01,-
20,fly,20,0.01,0.01,-
21,flies,19,0.02,0.02,-
22,flew,16,0.01,0.01,-
23,flown,15,0.01,0.01,-
24,flying,10,0.03,0.03,-
