,context,n_concepts,mean_tfidf,mean_diff,evidence
0,except,10,0.01,0.0,-
1,picking,9,0.02,0.02,-
2,tiny,9,0.01,0.0,-
3,prepare,9,0.0,0.0,-
4,cover,9,0.0,0.0,-
5,eye,9,0.01,0.0,-
6,size,9,0.02,0.02,-
7,roast,9,0.01,0.01,-
8,black,9,0.04,0.04,-
9,inspired,9,0.0,0.0,-
10,one,9,0.01,0.01,-
11,rich,8,0.01,0.01,-
12,nuts,8,0.02,0.02,-
13,lamb,8,0.02,0.01,-
14,using,8,0.01,0.0,-
15,sits,8,0.0,0.0,-
16,featuring,8,0.0,0.0,-
17,revealed,8,0.0,0.0,-
18,smell,8,0.01,0.01,-
19,knows,8,0.0,0.0,-
20,black,9,0.04,0.04,-
