,context,n_concepts,mean_tfidf,mean_diff,evidence
0,likely,11,0,0,u
1,pushing,10,0,0,u
2,first,10,0.01,0.01,u
3,force,10,0,0,u
4,program,10,0,0,u
5,nobody,10,0.01,0.01,u
6,determined,10,0,0,u
7,skills,10,0,0,u
8,closer,10,0,0,u
9,total,10,0,0,u
10,tight,10,0,0,u
11,1997,10,0,0,u
12,release,10,0,0,u
13,mountain,10,0,0,u
14,shoot,10,0,0,u
15,signs,10,0,0,u
16,beginning,10,0,0,u
17,between,10,0,0,u
18,shot,10,0.01,0.01,u
19,being,10,0.01,0,u
20,round,3,0.01,0.01,p
