context,n_concepts,mean_tfidf,mean_diff,min_tfidf,max_tfidf
beans,5,0.06,0.04,0.03,0.1
onion,5,0.17,0.15,0.06,0.35
mustard,5,0.07,0.06,0.02,0.15
cucumber,5,0.07,0.06,0.03,0.11
chinese,5,0.02,0.02,0.0,0.04
crops,5,0.06,0.03,0.03,0.13
leaf,5,0.02,0.02,0.01,0.04
chard,5,0.06,0.05,0.01,0.16
sliced,5,0.04,0.04,0.03,0.05
bacon,5,0.03,0.03,0.01,0.05
garlic,5,0.16,0.15,0.03,0.48
meat,5,0.05,0.04,0.02,0.11
leeks,5,0.01,0.01,0.01,0.02
stewed,5,0.01,0.01,0.0,0.02
parsley,5,0.03,0.02,0.02,0.06
leek,5,0.03,0.03,0.01,0.08
chicken,5,0.03,0.02,0.02,0.04
braised,5,0.01,0.01,0.0,0.02
such,5,0.02,0.01,0.01,0.04
grape,5,0.02,0.01,0.01,0.05
wild,5,0.04,0.03,0.01,0.08
fresh,5,0.02,0.01,0.01,0.04
fruits,5,0.03,0.01,0.02,0.05
bread,5,0.03,0.02,0.02,0.04
edible,5,0.03,0.02,0.01,0.05
cooking,5,0.01,0.01,0.01,0.02
pot,5,0.01,0.01,0.0,0.03
traditionally,5,0.01,0.0,0.0,0.01
pickle,5,0.02,0.01,0.0,0.02
little,5,0.01,0.0,0.0,0.02
herbs,5,0.01,0.01,0.01,0.03
chili,5,0.03,0.02,0.01,0.05
seasoned,5,0.02,0.01,0.01,0.02
filling,5,0.01,0.0,0.01,0.02
roast,5,0.01,0.01,0.0,0.01
melon,5,0.01,0.0,0.0,0.01
harvested,5,0.01,0.0,0.01,0.01
flax,5,0.01,0.01,0.0,0.03
resemble,5,0.01,0.01,0.0,0.02
also,5,0.01,0.0,0.01,0.02
literally,5,0.01,0.01,0.01,0.02
traditional,5,0.01,0.01,0.0,0.01
consumed,5,0.01,0.01,0.01,0.02
ornamental,5,0.02,0.02,0.0,0.05
occasionally,5,0.01,0.0,0.0,0.01
contains,5,0.01,0.0,0.0,0.01
amount,5,0.01,0.01,0.0,0.02
small,5,0.01,0.0,0.01,0.02
temperate,5,0.0,0.0,0.0,0.01
collective,5,0.01,0.01,0.0,0.02
many,5,0.01,0.01,0.0,0.02
