,animal,mammal,no-cat,measure,relation,fish,object,bird,communication,food,all,mean
stork,0.004627163364481494,0.0,0.0,0.0,0.0,0.0,0.004627163364481494,0.004401107193024485,0.0,0.0,0.004626066069108022,0.0016619545446450448
creeper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
crane,0.002068786093743755,0.0,0.0,0.0,0.0,0.0,0.002068786093743755,0.001702078857522936,0.0,0.0,0.0020687500517905383,0.0007189455542546349
char,0.0015737812033657654,0.0,0.0,0.0,0.0014997472285806996,0.0015539511021452678,0.0015737812033657654,0.0,0.0,0.0,0.0015737977808494238,0.0007068235016642656
crocodile,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
linnet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tanager,0.0029456096088277353,0.0,0.0,0.0,0.0,0.0,0.0029456096088277353,0.0034606186665709446,0.0,0.0,0.0029456264803980644,0.0011179513058749528
avocet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sardine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
toadfish,0.007615402328308745,0.0,0.0,0.0,0.0,0.00985436068174527,0.007615402328308745,0.0,0.0,0.0,0.007615402328308745,0.002972778878788319
rattlesnake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pintail,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
trogon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pipefish,0.023387850809012702,0.0,0.0,0.0,0.0,0.0257685887047242,0.023387850809012702,0.0,0.0,0.0,0.023387850809012702,0.00872110373925112
mosquitofish,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
smallmouth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
merganser,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
halfbeak,0.05951786625681506,0.0,0.0,0.0,0.0,0.024570996579020895,0.05951786625681506,0.0,0.0,0.0,0.05948829645832101,0.018463184140997457
redstart,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gyrfalcon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
trout,0.007525753564082613,0.0,0.0,0.0,0.0,0.008033592664292868,0.007525753564082613,0.0,0.0,0.0062086843532806225,0.0075257681054316065,0.003347232022833666
halibut,0.074509462601952,0.0,0.0,0.0,0.0,0.07565059177532396,0.074509462601952,0.0,0.0,0.06283077387130688,0.07448595318122939,0.03290784036652403
stickleback,0.012594314018898487,0.0,0.0,0.0,0.0,0.014332907754124461,0.012594314018898487,0.0,0.0,0.0,0.012592445079594786,0.004737634624683293
bass,0.0013967815846581686,0.0,0.0,0.0,0.0,0.0012259500980433,0.0013967815846581686,0.0,0.0009625567822311187,0.0012640830867529634,0.0013967917500903526,0.0006948131714940066
tortoise,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flounder,0.02841270571660813,0.0,0.0,0.0,0.0,0.03164996826675166,0.02841270571660813,0.0,0.0,0.023525088147412672,0.028416016025490286,0.012765134897533718
chicken,0.0006909372687420353,0.0,0.0,0.0,0.0,0.0,0.0006909372687420353,0.0006811353422928525,0.0,0.000700908003050342,0.000690873105448582,0.000314071908025077
grackle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
leatherback,0.010906252261061908,0.0,0.007388059208926737,0.0,0.0,0.0,0.010906252261061908,0.0,0.0,0.0,0.010906252261061908,0.003646074181101133
lark,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
albatross,0.019616988422603992,0.0,0.0,0.0,0.0,0.0,0.019616988422603992,0.020082756437741,0.0,0.0,0.019616662404955847,0.007175763244354985
curlew,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
turkey,0.0006945231567439969,0.0,0.0,0.0,0.0,0.0,0.0006945231567439969,0.0006397021814850789,0.0,0.000712245064267188,0.0006945071735708898,0.0003123182484373773
hen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
crow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
egret,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
yellowthroat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
turtle,0.005056577832351066,0.0,0.0037834191633899206,0.0,0.0,0.0,0.005056577832351066,0.0,0.0,0.0,0.005056263279568947,0.0017229852825146365
duck,0.0016401115940587055,0.0,0.0,0.001592227320774701,0.0,0.0,0.0016401115940587055,0.0015652213865022802,0.0,0.0015499631275054913,0.0016401717484538347,0.0008752551610321562
robin,0.0005242812666929788,0.0,0.0,0.0,0.0,0.0,0.0005242812666929788,0.0003684649864525029,0.0,0.0,0.000524020081245556,0.00017645887282581967
pickerel,0.004838170357819735,0.0,0.0,0.0,0.0,0.004692890308736018,0.004838170357819735,0.0,0.0,0.004029558255267313,0.004838037227107906,0.002112438773340973
quail,0.002519782300390642,0.0,0.0,0.0,0.0,0.0,0.002519782300390642,0.0021288466758272073,0.0,0.0024114163999541193,0.0025197435399659483,0.0010999610196844145
currawong,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
platypus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
roach,0.0015775752852617616,0.0,0.0,0.0,0.0,0.001325948512788133,0.0015775752852617616,0.0,0.0,0.0,0.0015775641104090797,0.0005507875630655215
salmon,0.11656039773128514,0.0,0.0,0.0,0.0,0.12572261404226204,0.11656039773128514,0.0,0.0,0.11222512741543708,0.11656082206291131,0.05342085081665279
whitethroat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
plaice,0.035908176941051945,0.0,0.0,0.0,0.0,0.03269502342991094,0.035908176941051945,0.0,0.0,0.025160632253557958,0.03611714711808909,0.015071741516696534
moose,0.0009092519298524406,0.0015638051711881669,0.0,0.0,0.0,0.0,0.0009092519298524406,0.0,0.0,0.0,0.0008925603626274452,0.0003886244903200449
addax,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stag,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hare,0.0005145976068958012,0.0008624940101762146,0.0,0.0,0.0,0.0,0.0005145976068958012,0.0,0.0,0.0004262821469916674,0.0005197838515935024,0.00025797774750481705
giraffe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hobby,0.0012008181481462472,0.0,0.0,0.0,0.0,0.0,0.0012008181481462472,0.0014912077379919514,0.0,0.0,0.0011933550266343082,0.0004623817328107958
bulldog,0.0011645167386085693,0.0021013544721488124,0.0,0.0,0.0,0.0,0.0011645167386085693,0.0,0.0,0.0,0.001177876750579702,0.0005098422454496049
cuscus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mouser,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
roebuck,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bushbaby,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pig,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tabby,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lemming,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pachyderm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
whiff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
drill,0.001991071643279242,0.0030941704052999935,0.0024079100639331236,0.0,0.0,0.0,0.001991071643279242,0.0,0.0,0.0,0.001993982976662499,0.001043473339314009
cock,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bull,0.00028059599205557654,0.0,0.00036402477071107375,0.0,0.0,0.0,0.00028059599205557654,0.0,0.0003848381713720979,0.0,0.00028555802818103156,0.00014505572312503237
cony,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hackney,0.0008845899095604915,0.00155956749577511,0.0011089645384890416,0.0,0.0,0.0,0.0008845899095604915,0.0,0.0,0.0,0.0009009096862003695,0.00048532923087140945
collie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
merino,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
layer,0.0007107080419991909,0.0,0.0,0.0,0.0,0.0,0.0007107080419991909,0.0008661760035560792,0.0,0.0,0.000718656538710685,0.0002732953296604678
lynx,0.000664995091280356,0.0010949271157166738,0.0,0.0,0.0,0.0,0.000664995091280356,0.0,0.0,0.0,0.0006712123917796673,0.0002814663354597321
hind,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
human,0.0006829827934156205,0.0010420984011735876,0.0,0.0,0.0,0.0,0.0006829827934156205,0.0,0.0,0.0,0.000681773657467491,0.0002808943314065745
chamois,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hack,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
