context,n_concepts,mean_tfidf,mean_diff,min_tfidf,max_tfidf
400,5,0.01,0.0,0.0,0.01
testing,5,0.01,0.01,0.0,0.01
korean,5,0.01,0.01,0.0,0.02
300,5,0.0,0.0,0.0,0.01
propellers,5,0.01,0.01,0.0,0.04
civilian,5,0.03,0.03,0.01,0.1
vertical,5,0.02,0.01,0.0,0.06
29,5,0.0,0.0,0.0,0.01
energy,5,0.0,0.0,0.0,0.01
downed,5,0.02,0.02,0.01,0.04
cruise,5,0.01,0.01,0.0,0.01
provide,5,0.01,0.0,0.0,0.01
ability,5,0.0,0.0,0.0,0.01
proposed,5,0.01,0.0,0.0,0.01
tail,5,0.01,0.01,0.01,0.02
intercept,5,0.01,0.01,0.0,0.01
small,5,0.01,0.01,0.01,0.02
17,5,0.01,0.01,0.01,0.02
type,5,0.01,0.01,0.01,0.02
modified,5,0.01,0.01,0.01,0.01
operation,5,0.01,0.0,0.0,0.01
passengers,5,0.03,0.02,0.01,0.06
aeroplane,5,0.01,0.01,0.0,0.02
very,5,0.01,0.0,0.0,0.01
crew,5,0.01,0.01,0.0,0.02
during,5,0.01,0.0,0.01,0.01
intercepted,5,0.01,0.01,0.0,0.01
ocean,5,0.01,0.01,0.0,0.01
components,5,0.01,0.0,0.0,0.01
14,5,0.01,0.0,0.0,0.01
controls,5,0.01,0.01,0.01,0.01
35,5,0.0,0.0,0.0,0.01
other,5,0.01,0.0,0.01,0.02
ever,5,0.01,0.0,0.0,0.01
hijacked,5,0.04,0.04,0.0,0.13
39,5,0.0,0.0,0.0,0.01
initial,5,0.0,0.0,0.0,0.01
800,5,0.0,0.0,0.0,0.01
due,5,0.0,0.0,0.0,0.01
until,5,0.01,0.0,0.0,0.01
over,5,0.01,0.01,0.01,0.02
group,5,0.01,0.0,0.01,0.01
being,5,0.01,0.0,0.01,0.01
shoot,5,0.01,0.01,0.0,0.02
third,5,0.01,0.0,0.0,0.01
1954,5,0.0,0.0,0.0,0.01
problems,5,0.0,0.0,0.0,0.01
newest,5,0.0,0.0,0.0,0.0
aerial,5,0.03,0.02,0.0,0.09
many,5,0.01,0.0,0.0,0.01
metal,5,0.02,0.02,0.0,0.05
exit,5,0.0,0.0,0.0,0.0
23,5,0.0,0.0,0.0,0.01
boarded,5,0.02,0.02,0.0,0.04
intended,5,0.01,0.0,0.0,0.01
itself,5,0.01,0.0,0.0,0.01
forward,5,0.01,0.0,0.0,0.01
ministry,5,0.0,0.0,0.0,0.0
footage,5,0.01,0.01,0.0,0.02
mechanics,5,0.01,0.0,0.0,0.02
controlled,5,0.02,0.01,0.0,0.06
israeli,5,0.01,0.01,0.0,0.03
control,5,0.01,0.01,0.0,0.02
surfaces,5,0.01,0.01,0.0,0.01
bombed,5,0.01,0.01,0.0,0.01
board,5,0.01,0.01,0.0,0.02
trans,5,0.01,0.01,0.0,0.02
august,5,0.01,0.0,0.0,0.01
replacement,5,0.0,0.0,0.0,0.01
become,5,0.01,0.0,0.0,0.01
produces,5,0.0,0.0,0.0,0.0
problem,5,0.0,0.0,0.0,0.01
drop,5,0.01,0.0,0.0,0.01
