,animal,reptile,tool,criminal,medication,mammal,no-cat,measure,relation,fish,object,weapon,communication,vehicle,food,dangerous,all,cutlery,mean
hijacker,0.0,0.0,0.0,0.02597106891843472,0.0,0.0,0.0,0.0,0.0,0.0,0.019781477657724245,0.0,0.0,0.0,0.0,0.0,0.02117602206250813,0.0,0.003718253813259283
bootlegger,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
conspirator,0.0,0.0,0.0,0.02510084500794399,0.0,0.0,0.0,0.0,0.0,0.0,0.021719869875348147,0.0,0.0,0.0,0.0,0.0,0.022812406433064255,0.0,0.0038685067397975772
freebooter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
raper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gun,0.0,0.0,0.0,0.02673855845975015,0.0,0.0,0.0,0.0,0.0,0.0,0.01596558312234064,0.017565339480826826,0.0,0.0,0.0,0.0,0.016857526820968114,0.0,0.004284833771326985
mafioso,0.0,0.0,0.0,0.01461406995627924,0.0,0.0,0.0,0.0,0.0,0.0,0.010465803229747276,0.0,0.0,0.0,0.0,0.0,0.01109201595292332,0.0,0.002009549396608324
thief,0.0,0.0,0.0,0.018391614591542163,0.0,0.0,0.0,0.0,0.0,0.0,0.012938077800815467,0.0,0.0,0.0,0.0,0.0,0.013511487391164577,0.0,0.002491176654640123
punk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001889692480366494,0.0,0.0002230731586411885,0.0,0.0,0.0,0.00019764272593786057,0.0,3.3871396256427696e-05
pusher,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dip,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
morphine,0.0,0.0,0.0,0.0,0.0025828878082287112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015394470241034141,0.0,0.00022901860179622916
pentobarbital,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dose,0.0,0.0,0.0,0.0,0.0009933614729489611,0.0,0.0,0.00048272963722567304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005954216165857622,0.0,0.00011508404037557758
nitrazepam,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
menthol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
remedy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
elixir,0.0,0.0,0.0,0.0,0.0040694301647572675,0.0,0.0,0.0,0.0029358587722743243,0.0,0.0,0.0,0.0,0.0,0.003434925979591333,0.0,0.0026712811545100724,0.0,0.0007284164483962776
naproxen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iodine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aspirin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cure,0.0,0.0,0.0,0.0,0.0037799583632623685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002761350186806344,0.0,0.0003634060305593729
sulfonamide,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ointment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciprofloxacin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
penicillin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unction,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
laxative,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
isoniazid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gentamicin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
