,animal,reptile,tool,criminal,medication,mammal,no-cat,measure,relation,fish,object,weapon,communication,vehicle,food,dangerous,all,cutlery,mean
coyote,0.0016701940823594572,0.0,0.0,0.0,0.0,0.0017021946693942841,0.0,0.0,0.0,0.0,0.0011697914203202715,0.0,0.0,0.0,0.0,0.0,0.0011452315025407096,0.0,0.0003159673152563735
doodlebug,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scorpion,0.004446132785319592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003109529701973683,0.0,0.0,0.0,0.0,0.0,0.0032719873281608198,0.0,0.0006015361008585608
snake,0.0005281697347888892,0.000419755883237356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00035205674803223804,0.0,0.0,0.0,0.0,0.0,0.00035667467670733895,0.0,9.203650237587901e-05
alligator,0.002923492234848219,0.002582695165736754,0.0,0.0,0.0,0.0,0.0,0.0,0.0021700209964761502,0.0,0.0019881357615528436,0.0,0.0,0.0,0.0,0.0,0.0019664637480513968,0.0,0.0006461559948147424
killer,0.0014340757188343047,0.0,0.0,0.0,0.0,0.0015719184860429776,0.0,0.0,0.0,0.0,0.0013363148501748965,0.0,0.0,0.0,0.0,0.0,0.0013119472369249655,0.0,0.0003141253495542858
hack,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hippopotamus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tiger,0.0012999292289847127,0.0,0.0,0.0,0.0,0.0012028472824852801,0.0,0.0,0.0,0.0,0.0009638925412617041,0.0,0.0,0.0,0.0,0.0,0.0009361570398333329,0.0,0.0002446014495869461
torpedo,0.0006739817745148777,0.0,0.0,0.0010373150826838665,0.0,0.0,0.0,0.0,0.0007229539956949843,0.000786430795530719,0.0006281268663437914,0.0,0.0006880474307345018,0.0,0.0006619987431018663,0.0,0.0006438287062403321,0.0,0.0003245935219358299
