,context,n_concepts,mean_tfidf,mean_diff,evidence
0,leaves,36,0.05,0.04,i
1,mint,34,0.03,0.03,i
2,leaf,33,0.03,0.03,i
3,green,33,0.02,0.02,p
4,herbs,31,0.02,0.01,i
5,garnish,31,0.04,0.03,i
6,plants,31,0.01,0.01,i
7,citrus,31,0.02,0.02,u
8,flowers,31,0.01,0.01,r
9,scented,31,0.01,0.01,u
10,grows,30,0.02,0.02,u
11,planted,30,0.02,0.02,u
12,plant,30,0.01,0.01,i
13,variety,29,0.01,0.01,u
14,flavor,29,0.02,0.01,u
15,flavored,29,0.02,0.01,u
16,grow,29,0.01,0.01,u
17,dried,29,0.04,0.03,u
18,fruit,29,0.06,0.05,u
19,small,28,0.01,0.01,u
20,green,33,0.02,0.02,p
