,context,n_concepts,mean_tfidf,mean_diff,evidence
0,pineapple,56,0.04,0.04,-
1,orange,53,0.04,0.04,-
2,fruits,52,0.03,0.02,-
3,like,51,0.02,0.01,-
4,fruit,49,0.08,0.07,-
5,papaya,49,0.04,0.03,-
6,juices,49,0.01,0.01,-
7,among,49,0.0,0.0,-
8,apple,48,0.04,0.04,-
9,ripe,48,0.04,0.04,-
10,citrus,48,0.02,0.02,-
11,or,48,0.02,0.01,-
12,grapefruit,47,0.03,0.03,-
13,flavors,47,0.05,0.04,-
14,cherry,47,0.06,0.05,-
15,mango,47,0.08,0.07,-
16,drink,47,0.01,0.01,-
17,picking,47,0.01,0.01,-
18,red,47,0.03,0.02,-
19,bright,46,0.01,0.01,-
20,juicy,44,0.01,0.01,-
