,context,n_concepts,mean_tfidf,mean_diff,evidence
0,pineapple,56,0.04,0.04,i
1,orange,53,0.04,0.04,i
2,fruits,52,0.03,0.02,i
3,like,51,0.02,0.01,u
4,fruit,49,0.08,0.07,i
5,papaya,49,0.04,0.03,i
6,juices,49,0.01,0.01,p
7,among,49,0,0,u
8,apple,48,0.04,0.04,i
9,ripe,48,0.04,0.04,r
10,citrus,48,0.02,0.02,i
11,or,48,0.02,0.01,u
12,grapefruit,47,0.03,0.03,i
13,flavors,47,0.05,0.04,u
14,cherry,47,0.06,0.05,i
15,mango,47,0.08,0.07,i
16,drink,47,0.01,0.01,i
17,picking,47,0.01,0.01,u
18,red,47,0.03,0.02,u
19,bright,46,0.01,0.01,u
20,juicy,44,0.01,0.01,p
