,animal,mammal,no-cat,measure,relation,fish,object,bird,communication,vehicle,food,all,female,mean
wren,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
brant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stork,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eider,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
beetle,5.993896186222154e-05,0.0,9.788408809659939e-05,0.0,0.0,0.0,5.487565436681754e-05,0.0,0.0,0.0,0.0,5.4560304465219596e-05,0.0,2.0558385291604467e-05
oriole,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bat,0.0005361469889526008,0.0006768062898416162,0.0,0.0,0.0,0.0,0.0004656329860140502,0.0,0.0,0.0,0.0,0.0004625408764527013,0.0,0.00016470208778930528
sawfly,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
accentor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
babbler,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nightingale,0.0010304480620523821,0.0,0.0,0.0,0.0,0.0,0.0008848170390265625,0.0009349494433190262,0.0,0.0,0.0,0.0008778095654821607,0.0,0.0002867710853753947
falcon,0.0021799805173472082,0.0,0.0,0.0,0.0,0.0,0.0018912055662779926,0.002478779919476373,0.0,0.0,0.0,0.0018798629976809359,0.0,0.0006484483846755777
tit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tortrix,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pintail,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grasshopper,0.0023803850757141993,0.0,0.0,0.0,0.0036602942907537077,0.0,0.0022028090877240234,0.0,0.0,0.0,0.0034242517376194656,0.002188021087977994,0.0,0.00106582779075303
trogon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cock,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
canary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
insect,0.0005800099127533623,0.0,0.0,0.0,0.0,0.0,0.0004522297357597583,0.0,0.0,0.0,0.0,0.00044997072580968547,0.0,0.00011401618264021586
merganser,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sparrow,0.0025831351454778137,0.0,0.0,0.0,0.0,0.0,0.0025222125976537167,0.003120211550398943,0.0,0.0,0.0,0.0025082797155404554,0.0,0.0008256799237746868
hawk,0.007771874639095027,0.0,0.0,0.0,0.0,0.0,0.0071144794132312434,0.0085156538590557,0.0,0.0,0.0,0.007099721516078109,0.0,0.002346286879035391
marabou,0.009062322741302762,0.0,0.0,0.0,0.010796588940590083,0.0,0.007636927805580932,0.010509951248847908,0.0,0.0,0.0,0.007585648506318044,0.0,0.0035070337878953636
drone,0.046404014990617186,0.0,0.0,0.0,0.0,0.0,0.046223649183082284,0.0,0.05077122559068966,0.04555855413810049,0.0,0.04624495043913348,0.0,0.01809249187243255
rooster,0.0012552504160524083,0.0,0.0,0.0,0.0,0.0,0.0011671580510511364,0.0013739748851760694,0.0,0.0,0.0,0.0011600448050040162,0.0,0.0003812637044064331
pigeon,0.004527239787528631,0.0,0.0,0.0,0.0,0.0,0.003882572707037505,0.005241841792739216,0.0,0.0,0.0,0.0038586681067407417,0.0,0.0013469478764650841
jackdaw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gnat,0.0038527927266894684,0.0,0.0,0.0,0.0,0.0,0.0035247452362764395,0.0,0.0,0.0,0.0,0.00350588837552945,0.0,0.0008371866414227199
bird,0.002899613459710138,0.0,0.0,0.0,0.0,0.0,0.0023437509666566383,0.0031968539754224706,0.002737450314836653,0.0,0.00341156867958612,0.0023302730688654757,0.003939798755868015,0.0016045622477650393
pochard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
drosophila,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tattler,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chicken,0.0013714328160573256,0.0,0.0,0.0,0.0,0.0,0.0012625927996742785,0.0014465684060198845,0.0,0.0,0.002003764540085182,0.001256280482664225,0.0,0.0005646645418846842
grackle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
megapode,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mosquito,0.0014209779780178723,0.0,0.0,0.0,0.0,0.0,0.0012938493488196354,0.0,0.0,0.0,0.0,0.001286689692946876,0.0,0.00030780900152187565
lark,0.0021138805850457556,0.0,0.0,0.0,0.0,0.0,0.0018152787775841076,0.0028078771320284718,0.0,0.0,0.0,0.0018043871797794077,0.0,0.0006570325903413649
albatross,0.005267225366394689,0.0,0.0,0.0,0.0,0.0,0.005567673172688241,0.006161785345853663,0.0,0.0,0.0,0.005533371994984989,0.0,0.0017330812215324296
catbird,0.011103016843835703,0.0,0.0,0.0,0.0,0.0,0.012363755098846543,0.009269803530285274,0.0,0.0,0.0,0.012322260045971043,0.0,0.0034660642706875813
archaeopteryx,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eagle,0.005177862452089146,0.0,0.0,0.006688002237763563,0.0,0.0,0.004464728303297875,0.005504076977865501,0.0,0.0,0.0,0.004443336002213573,0.0,0.0020213850748638197
