,food,fish,communication,no-cat,all,mammal,relation,bird,object,measure,animal,mean
sardine,0.12677116494911406,0.09726110924318002,0.0,0.0,0.15244923147018213,0.0,0.1082907025874091,0.0,0.15244923147018213,0.0,0.15244923147018213,0.07178824283547723
trout,0.25343697009850125,0.22234258763575337,0.0,0.0,0.26325636320605966,0.0,0.0,0.0,0.2632577315051811,0.0,0.2632577315051811,0.11505012581369788
halibut,0.11648778035875282,0.09538386224627579,0.0,0.0,0.101368313931633,0.0,0.0,0.0,0.101368313931633,0.0,0.101368313931633,0.04690696221817523
bass,0.1649968614477187,0.15203715219870417,0.14625913836355972,0.0,0.1641981942081976,0.0,0.0,0.0,0.16419873050487502,0.0,0.16419873050487502,0.08689898247526638
flounder,0.05733999276221317,0.05270140972876322,0.0,0.0,0.05709686892930122,0.0,0.0,0.0,0.05709686892930122,0.0,0.05709686892930122,0.02557563720717091
chicken,0.0004279804724893828,0.0,0.0,0.0,0.00033526164480837987,0.0,0.0,0.0003735074341539521,0.00033525832930606723,0.0,0.00033525832930606723,0.00016429692818762266
turkey,0.0,0.0,0.0,0.0,0.0001620571036182339,0.0,0.0,0.00014932312347695252,0.00016205382980848313,0.0,0.00016205382980848313,5.7771626064741146e-05
hen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
duck,0.0017233409709563636,0.0,0.0,0.0,0.001583693705891198,0.0,0.0,0.0014225755240622568,0.0015836923551752146,0.0017063611512905348,0.0015836923551752146,0.0008730323693227984
pickerel,0.04635084239421433,0.04313742818807777,0.0,0.0,0.06887074120504115,0.0,0.0,0.0,0.06887074120504115,0.0,0.06887074120504115,0.026918226745219598
quail,0.001651208409280408,0.0,0.0,0.0,0.0015682376290922936,0.0,0.0,0.0013605612153159542,0.0015682640110657594,0.0,0.0015682640110657594,0.0007015032068927431
salmon,0.12184142020514141,0.08626695944621698,0.0,0.0,0.10228910505168648,0.0,0.0,0.0,0.10228412976121724,0.0,0.10228412976121724,0.04681506765686176
plaice,0.12114403556386742,0.1106787008968667,0.0,0.0,0.15028772336772162,0.0,0.0,0.0,0.15028772336772162,0.0,0.15028772336772162,0.06206235514217262
hare,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mole,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
torpedo,0.002561841558837844,0.0022739021867726676,0.003959695049075525,0.0028415287848478736,0.002764668122354012,0.0,0.0035173931723955494,0.0,0.002768342900664591,0.0,0.002768342900664591,0.0021323376977829688
char,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
smallmouth,0.0,0.021127273400349533,0.0,0.0,0.02636902977230744,0.0,0.0,0.0,0.026369602761761483,0.0,0.026369602761761483,0.009112318972379994
roach,0.0,0.0008028230133619449,0.0,0.0,0.0008345349906500263,0.0,0.0,0.0,0.0008345314432013029,0.0,0.0008345314432013029,0.0003005837173104161
whiff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hind,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
drum,0.0,0.0011423803631100274,0.0,0.0,0.0013995994990505716,0.0,0.0,0.0,0.0013996254304330482,0.0,0.0013996254304330482,0.00048556642936606326
permit,0.0,0.008441813102648436,0.013292915386174121,0.0,0.010564618954817041,0.0,0.0,0.0,0.010567152433458741,0.0,0.010567152433458741,0.0048576047555051885
skate,0.0,0.00041730605503301205,0.0,0.0,0.0005168273132217186,0.0,0.0,0.0,0.0005166255493493321,0.0,0.0005166255493493321,0.00017885313335939956
bull,0.0,0.0,0.0007787689614141217,0.0006708951192190627,0.0006011722465443199,0.000887016166964348,0.0,0.0,0.0006012024684755141,0.0,0.0006012024684755141,0.0003763870391902618
pointer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
howler,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
creeper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
crocodile,0.0,0.0,0.0,0.003497848698469836,0.0036680040141881297,0.0,0.0,0.0,0.003668014337734995,0.0,0.003668014337734995,0.0013183528534661778
rattlesnake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tortoise,0.0,0.0,0.0,0.0033176459187284537,0.0047878266093067815,0.0,0.0,0.0,0.004787875081672857,0.0,0.004787875081672857,0.0016073838810346317
leatherback,0.0,0.0,0.0,0.0036080612544394097,0.005337514496888392,0.0,0.0,0.0,0.005337514496888392,0.0,0.005337514496888392,0.0017836913404640534
turtle,0.0,0.0,0.0,0.016944070069205373,0.02113435075199897,0.0,0.0,0.0,0.021133319366168232,0.0,0.021133319366168232,0.007304096323049164
drill,0.0,0.0,0.0,0.003500240682512906,0.0035970464741331,0.00552363640397639,0.0,0.0,0.0035971596512524764,0.0,0.0035971596512524764,0.0018013857148297592
hackney,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
