,context,n_concepts,mean_tfidf,mean_diff,evidence
0,cabbage,9,0.1,0.09,-
1,cultivated,9,0.02,0.02,-
2,pickles,9,0.02,0.01,-
3,potatoes,9,0.06,0.05,-
4,varieties,8,0.02,0.02,-
5,eaten,8,0.02,0.02,-
6,seed,8,0.02,0.01,-
7,beet,8,0.06,0.06,-
8,greens,8,0.02,0.02,-
9,vegetable,8,0.05,0.04,-
10,peas,8,0.03,0.03,-
11,spinach,8,0.06,0.05,-
12,soup,8,0.16,0.14,-
13,vegetables,8,0.09,0.07,-
14,mixture,7,0.01,0.01,-
15,cuisine,7,0.02,0.01,-
16,garden,7,0.03,0.03,-
17,foods,7,0.01,0.01,-
18,cultivation,7,0.02,0.01,-
19,tobacco,7,0.02,0.01,-
20,red,6,0.03,0.02,-
