,context,n_concepts,mean_tfidf,mean_diff
0,food,54,0.04,0.03
1,day,44,0.04,0.03
2,based,42,0.03,0.02
3,local,42,0.02,0.02
4,out,41,0.03,0.02
5,home,41,0.03,0.02
6,united,40,0.02,0.02
7,long,40,0.04,0.03
8,best,39,0.03,0.03
9,band,39,0.04,0.03
10,blue,5,0.14,0.07
