,animal,fruit,bird,all,relation,round,object,food,plant,measure,mean
world,0.0017567900181339768,0.0,0.0,0.0015761184941682185,0.0,0.0,0.0016964100020325885,0.0,0.0,0.0,0.0005029318514334784
pen,0.0015508248006828008,0.0,0.0015508248006828008,0.0015147960985282464,0.0,0.0,0.0016641091865614672,0.0,0.0,0.0,0.0006280554886455316
chicken,0.005921402151856057,0.0,0.005695610035018619,0.0057861031910021845,0.0,0.0,0.005612838601081306,0.005985367023668473,0.0,0.0,0.0029001321002626638
lemon,0.0,0.004926051840597082,0.0,0.0035599872529514087,0.0,0.0,0.0035256732694351565,0.003841649682130017,0.0046869379084836,0.0,0.0020540299953597267
fruit,0.0,0.004315138228440881,0.0,0.0028763981342731846,0.0,0.0,0.002979895492547177,0.0,0.0,0.0,0.0010171431855261243
berry,0.0,0.017766120052364717,0.0,0.011856163338294447,0.0,0.0,0.012773095840789247,0.012416557129770895,0.0,0.0,0.005481193636121931
gourd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pecan,0.0,0.024092816317272215,0.0,0.01576530883167583,0.01551551417038989,0.0,0.016979530283529047,0.0,0.020150436429824822,0.0,0.00925036060326918
peanut,0.0,0.0008762485648019451,0.0,0.0007580750013223096,0.0,0.0,0.0007265744988911163,0.0,0.0009288997299822728,0.0,0.0003289797794997644
apple,0.0,0.0018259407963003742,0.0,0.001230659676423238,0.0,0.0,0.0013095571098520856,0.0012723884109299745,0.001730261560457262,0.0,0.0007368807553962935
watermelon,0.0,0.007215071972538605,0.0,0.004873613215322083,0.0,0.0,0.004962839150421422,0.005178683827408517,0.006299569330636862,0.0,0.0028529777496327487
cherry,0.0,0.0028515123547609975,0.0,0.0017885238493715895,0.001747079242692073,0.0,0.0019443313778862207,0.001725033695883093,0.0025262731939981737,0.0,0.0012582753714592148
orange,0.0,0.000979887665323734,0.0,0.0006808172406592566,0.0007055761975251516,0.0,0.0007187850233980449,0.0006932794560125833,0.0008953111361634599,0.0,0.00046736567190822304
melon,0.0,0.004163564898944928,0.0,0.0028582009915220636,0.0,0.0,0.003011745542576076,0.002943674871054139,0.0037273206305484504,0.0,0.0016704506934645657
cantaloupe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
blueberry,0.0,0.004935356589516051,0.0,0.0028730316156970236,0.0,0.0,0.0029518900303607677,0.003248970429400917,0.004262178380391126,0.0,0.0018271427045365885
pineapple,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coconut,0.0,0.002522017039177686,0.0,0.0016710564450592702,0.0,0.0,0.0016567590485887264,0.0017307835418337713,0.002066439003373011,0.0,0.0009647055078032464
nutlet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sapodilla,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nut,0.0,0.032960753814644396,0.0,0.018535200998612996,0.0,0.0,0.019848921612317896,0.0,0.0,0.015825097766522366,0.008716997419209765
bean,0.0,0.00531044912612049,0.0,0.0036896970243807076,0.0,0.0,0.0038166493994767157,0.004023964991994003,0.004901863171330836,0.0,0.0021742623713302753
almond,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bucket,0.0,0.0,0.0,0.004929694685439231,0.0,0.0,0.005389768260488759,0.0,0.0,0.004580235164313447,0.0014899698110241437
egg,0.0,0.0,0.0,0.02587584690384189,0.0,0.0,0.026261553129315496,0.028483732900451357,0.0,0.0,0.008062113293360875
disk,0.0,0.0,0.0,0.0023547967965312114,0.0,0.0,0.002580875234227598,0.0,0.0,0.0,0.0004935672030758809
pomade,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fondant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cabbage,0.0,0.0,0.0,0.017045841344578875,0.0,0.0,0.016528169033167568,0.01846346128372502,0.019424718833830238,0.01372799426518272,0.008519018476048442
marble,0.0,0.0,0.0,0.0014603649648256582,0.0016327100574707112,0.0,0.0015979714441917451,0.0,0.0,0.0,0.00046910464664881146
banjo,0.0,0.0,0.0,0.00859538010108479,0.0,0.0,0.009462176503537065,0.0,0.0,0.0,0.0018057556604621854
pizza,0.0,0.0,0.0,0.006225922862608144,0.0,0.0,0.0,0.006453576847732302,0.0,0.0,0.0012679499710340446
pastry,0.0,0.0,0.0,0.017427398790538767,0.0,0.0,0.0,0.018503843997492435,0.0,0.0,0.00359312427880312
button,0.0,0.0,0.0,0.0006518171978493719,0.0,0.0,0.0007065777674340164,0.0,0.0,0.0,0.00013583949652833883
pie,0.0,0.0,0.0,0.0038715662667333085,0.0,0.0,0.0,0.004179724432409264,0.0,0.0,0.0008051290699142572
vinaigrette,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
box,0.0,0.0,0.0,0.004889306002151814,0.0,0.0,0.005397957288902001,0.0,0.006548538676440825,0.004150592867563502,0.0020986394835058137
tray,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pasta,0.0,0.0,0.0,0.0021520677842852133,0.0,0.0,0.0,0.0026069675874527457,0.0,0.0,0.0004759035371737959
pumpkin,0.0,0.0,0.0,0.005998281869054205,0.0,0.0,0.006277543005411117,0.006017146410943051,0.007500406294074171,0.0,0.0025793377579482546
barrel,0.0,0.0,0.0,0.06607526548776306,0.0,0.0,0.0720154012951509,0.0,0.0,0.06067629306331322,0.019876695984622716
chocolate,0.0,0.0,0.0,0.004216178222506139,0.003985898231904654,0.0,0.0,0.004606531054962181,0.0,0.0,0.0012808607509372974
table,0.0,0.0,0.0,0.003596031995876028,0.0,0.0,0.003916695794920857,0.003539445714152365,0.0,0.0,0.0011052173504949249
pilaf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cheese,0.0,0.0,0.0,0.012079571702941848,0.0,0.0,0.011181780423107402,0.013914815338877552,0.013940499061905384,0.0,0.005111666652683219
