,reptile,criminal,food,fish,communication,cutlery,no-cat,vehicle,all,mammal,relation,tool,object,measure,animal,weapon,medication,mean
snake,0.0008779550524044595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007321904128677283,0.0,0.0,0.0,0.0007072494142607747,0.0,0.0007809304831524034,0.0,0.0,0.00018225443309913917
alligator,0.007358498174628562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007320919089023751,0.0,0.008293651602737281,0.0,0.007253015557722581,0.0,0.0073696727957092735,0.0,0.0,0.002211515130577732
turtle,0.0010863947543066157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008668710573389765,0.0,0.0,0.0,0.0007870703395219778,0.0,0.0008955857532281531,0.0,0.0,0.00021387775908210136
gunman,0.0,0.1175414810997759,0.0,0.0,0.0,0.0,0.0,0.0,0.11300193014056302,0.0,0.0,0.0,0.11107973993961025,0.0,0.0,0.0,0.0,0.020095479481173482
coyote,0.0,0.006164325348005637,0.0,0.0,0.0,0.0,0.0,0.0,0.004007549423727598,0.005056858662347265,0.0,0.0,0.003949001557912429,0.0,0.004824605618091274,0.0,0.0,0.0014119023888284825
henchman,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
traitor,0.0,0.0017010148088718786,0.0,0.0,0.0,0.0,0.0,0.0,0.0016013015835551693,0.0,0.0,0.0,0.001520744073746414,0.0,0.0,0.0,0.0,0.0002837094391866742
racketeer,0.0,0.0014290210638508581,0.0,0.0,0.0,0.0,0.0,0.0,0.0010977437670691545,0.0,0.0,0.0,0.0010727164506905127,0.0,0.0,0.0,0.0,0.00021173419303591325
hijacker,0.0,0.003295623816223126,0.0,0.0,0.0,0.0,0.0,0.0,0.0025267648096847536,0.0,0.0,0.0,0.002483667637265764,0.0,0.0,0.0,0.0,0.0004885915448925673
looter,0.0,0.035233955830643794,0.0,0.0,0.0,0.0,0.0,0.0,0.03388048822454438,0.0,0.0,0.0,0.032923766183417684,0.0,0.0,0.0,0.0,0.0060022476610944635
bootlegger,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
conspirator,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
raper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gun,0.0,0.03778748730178014,0.0,0.0,0.0,0.0,0.0,0.0,0.038224415843611165,0.0,0.0,0.0,0.03743621072818155,0.0,0.0,0.029897942000618297,0.0,0.008432120933775948
mafioso,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
thief,0.0,0.0037176313760787665,0.0,0.0,0.0,0.0,0.0,0.0,0.003477348941893014,0.0,0.0,0.0,0.0034662978160610535,0.0,0.0,0.0,0.0,0.0006271340078842844
punk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
torpedo,0.0,0.004945469587473328,0.004188484574510138,0.005193509951139974,0.003986046257566474,0.0,0.0,0.0,0.00413379284866898,0.0,0.004928294411219007,0.0,0.0040550863313480795,0.0,0.004047502136823586,0.0,0.0,0.0020869521234558566
pusher,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dip,0.0,0.00041394755088698535,0.000498325653015767,0.0,0.0,0.0,0.0,0.0,0.0004683744485417053,0.0,0.0,0.0,0.00042523501104608174,0.0,0.0,0.0,0.0,0.00010622839197003172
blade,0.0,0.0,0.0018235088284092424,0.0,0.0,0.0,0.0,0.0,0.002063902431037058,0.0,0.0,0.00208632277571053,0.0020644969477394415,0.0,0.0,0.0017263170851947213,0.0,0.0005743851804759408
