,context,n_concepts,mean_tfidf,mean_diff,evidence
0,camp,8,0.0,0.0,-
1,sections,8,0.0,0.0,-
2,coloring,7,0.0,0.0,-
3,buried,7,0.01,0.01,-
4,path,7,0.0,0.0,-
5,labor,7,0.0,0.0,-
6,department,7,0.0,0.0,-
7,collins,7,0.0,0.0,-
8,flight,7,0.0,0.0,-
9,turning,7,0.0,0.0,-
10,peaches,7,0.0,0.0,-
11,grapes,7,0.01,0.01,-
12,bottle,7,0.01,0.01,-
13,gin,7,0.01,0.01,-
14,prevent,7,0.0,0.0,-
15,concluded,6,0.0,0.0,-
16,silver,6,0.01,0.01,-
17,along,6,0.01,0.0,-
18,symbolic,6,0.0,0.0,-
19,bus,6,0.0,0.0,-
20,juicy,4,0.01,0.0,-
