,context,n_concepts,mean_tfidf,mean_diff,evidence
0,grass,6,0.01,0.01,u
1,pregnant,6,0.02,0.02,l
2,defeating,6,0.01,0.01,u
3,breeding,6,0.02,0.02,r
4,producers,5,0,0,u
5,show,5,0.01,0.01,u
6,lady,5,0.03,0.03,i
7,actress,5,0.01,0.01,i
8,eat,5,0.01,0.01,u
9,so,5,0.02,0.01,u
10,feeding,5,0.01,0.01,b
11,adult,5,0.03,0.03,u
12,waste,5,0,0,u
13,chased,5,0.02,0.02,u
14,feed,5,0.02,0.02,b
15,dangerous,5,0.01,0.01,u
16,six,5,0.01,0,u
17,states,5,0.01,0.01,u
18,pregnancy,5,0.02,0.02,l
19,female,4,0.02,0.02,p
20,female,4,0.02,0.02,p
