,context,n_concepts,mean_tfidf,mean_diff,evidence
0,annual,58,0.0,0.0,-
1,between,56,0.0,0.0,-
2,also,56,0.01,0.0,-
3,growing,54,0.01,0.0,-
4,first,53,0.01,0.01,-
5,will,53,0.01,0.0,-
6,however,52,0.0,0.0,-
7,circle,52,0.01,0.01,-
8,about,51,0.01,0.0,-
9,passion,51,0.01,0.0,-
10,program,51,0.0,0.0,-
11,past,51,0.01,0.0,-
12,15,51,0.01,0.0,-
13,jerry,51,0.0,0.0,-
14,not,51,0.01,0.01,-
15,although,50,0.0,0.0,-
16,should,50,0.01,0.0,-
17,simply,50,0.0,0.0,-
18,types,50,0.0,0.0,-
19,ring,50,0.0,0.0,-
20,round,31,0.01,0.01,-
