context,n_concepts,mean_tfidf,mean_diff,min_tfidf,max_tfidf
ditches,9,0.0,0.0,0.0,0.0
maple,9,0.21,0.2,0.01,0.97
tablets,9,0.01,0.0,0.0,0.01
thickened,9,0.01,0.01,0.0,0.09
poached,9,0.0,0.0,0.0,0.01
sprinkled,9,0.01,0.0,0.0,0.03
injection,9,0.0,0.0,0.0,0.0
hazel,9,0.01,0.01,0.0,0.04
matilda,9,0.0,0.0,0.0,0.0
mines,9,0.01,0.01,0.0,0.06
crisis,9,0.0,0.0,0.0,0.0
hogan,9,0.0,0.0,0.0,0.0
stunt,9,0.01,0.0,0.0,0.02
emerald,9,0.01,0.01,0.0,0.06
squares,9,0.0,0.0,0.0,0.01
toto,9,0.0,0.0,0.0,0.01
bun,9,0.03,0.03,0.01,0.18
anise,9,0.01,0.01,0.0,0.03
satirical,9,0.02,0.01,0.0,0.1
sugarcane,9,0.04,0.03,0.01,0.08
gland,9,0.0,0.0,0.0,0.01
barbecue,9,0.03,0.03,0.0,0.16
parrot,9,0.0,0.0,0.0,0.01
fled,9,0.0,0.0,0.0,0.0
donor,9,0.0,0.0,0.0,0.01
realm,9,0.0,0.0,0.0,0.0
depths,9,0.0,0.0,0.0,0.0
slices,9,0.03,0.02,0.01,0.08
curd,9,0.01,0.01,0.0,0.03
walnut,9,0.03,0.02,0.01,0.07
flooded,9,0.0,0.0,0.0,0.0
tropics,9,0.0,0.0,0.0,0.01
sinking,9,0.0,0.0,0.0,0.0
slipped,9,0.0,0.0,0.0,0.02
elephants,9,0.0,0.0,0.0,0.02
tooth,9,0.01,0.01,0.0,0.02
fossil,9,0.0,0.0,0.0,0.01
del,9,0.0,0.0,0.0,0.01
venomous,9,0.0,0.0,0.0,0.01
casualties,9,0.0,0.0,0.0,0.0
muscles,9,0.01,0.01,0.0,0.06
shame,9,0.01,0.01,0.0,0.05
movements,9,0.01,0.01,0.0,0.03
darkness,9,0.01,0.01,0.0,0.04
impaired,9,0.0,0.0,0.0,0.0
housemates,9,0.0,0.0,0.0,0.0
tasmanian,9,0.01,0.0,0.0,0.01
pipeline,9,0.0,0.0,0.0,0.01
dracula,9,0.0,0.0,0.0,0.01
genetically,9,0.0,0.0,0.0,0.01
marble,8,0.01,0.01,0.0,0.02
oxide,8,0.0,0.0,0.0,0.01
illuminated,8,0.0,0.0,0.0,0.01
recycling,8,0.0,0.0,0.0,0.01
glazed,8,0.01,0.01,0.0,0.03
deposited,8,0.0,0.0,0.0,0.0
slab,8,0.0,0.0,0.0,0.01
drank,8,0.01,0.01,0.0,0.05
carvings,8,0.0,0.0,0.0,0.01
ventilation,8,0.0,0.0,0.0,0.0
canvas,8,0.0,0.0,0.0,0.01
droplets,8,0.0,0.0,0.0,0.02
artisan,8,0.0,0.0,0.0,0.0
trilogy,8,0.0,0.0,0.0,0.01
tables,8,0.0,0.0,0.0,0.0
illumination,8,0.0,0.0,0.0,0.01
excavation,8,0.0,0.0,0.0,0.0
botanical,8,0.01,0.01,0.0,0.02
flush,8,0.0,0.0,0.0,0.01
plumbing,8,0.0,0.0,0.0,0.0
deposit,8,0.0,0.0,0.0,0.01
radioactive,8,0.0,0.0,0.0,0.0
deposition,8,0.0,0.0,0.0,0.0
individually,8,0.0,0.0,0.0,0.01
ore,8,0.0,0.0,0.0,0.02
traditions,8,0.0,0.0,0.0,0.01
pebbles,8,0.0,0.0,0.0,0.0
harder,8,0.0,0.0,0.0,0.0
divers,8,0.0,0.0,0.0,0.02
baptism,8,0.0,0.0,0.0,0.0
directional,8,0.0,0.0,0.0,0.0
