,animal,fruit,plant,blue,vegetable,measure,relation,fish,object,bird,communication,vehicle,food,all,female,mean
mussel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
budgie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scorpion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fish,0.0015145411046876653,0.0,0.0,0.0,0.0,0.0,0.0,0.001621795716846076,0.0013271756966299006,0.0,0.0,0.0,0.0014331980102057478,0.0013193026784265518,0.0,0.0004810675471197294
parrotfish,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kingfisher,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
insect,0.002817714392626372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002593677641655258,0.0,0.0,0.0,0.0,0.0025805276584245323,0.0,0.0005327946461804109
frog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bird,0.0018358613966548555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016136314516592748,0.002346444955158472,0.0016749543948743402,0.0,0.0016397179250190856,0.0015958974690038178,0.0014000321091570058,0.0008071026467684567
parakeet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shark,0.002847812061632418,0.0,0.0,0.0,0.0,0.0,0.0,0.0030422680196132714,0.0024526992192075206,0.0,0.0,0.0,0.0,0.0024454677519130255,0.0,0.0007192164701577492
peacock,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
parrot,0.0015719310697490249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012834313051058419,0.0,0.0,0.0,0.0,0.0013391770992182762,0.0,0.00027963596493820955
starling,0.0022752546841189472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018955549115217787,0.0,0.0,0.0,0.0,0.0019020965748623609,0.0,0.0004048604113668725
fox,0.0021757784384433087,0.0,0.0,0.0,0.0,0.0,0.001885137234306451,0.0,0.00204055133610294,0.0,0.0,0.0,0.0,0.002029524602629171,0.0,0.0005420661074321246
cockroach,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
beetle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
giraffe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
