,animal,fruit,plant,blue,vegetable,measure,relation,fish,object,bird,communication,vehicle,food,all,female,mean
mussel,0.0010177994435561933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011464866225754837,0.0,0.0,0.0,0.0012981954343663617,0.0011901441611830502,0.0,0.0003101750441120726
budgie,0.009052003380214812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024300232760330675,0.009980840327070658,0.0,0.0,0.0,0.024962310902930485,0.0,0.004553025824703109
scorpion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fish,0.01237158794233391,0.0,0.0,0.0,0.0,0.0,0.0,0.018119170995903214,0.013058467289466235,0.0,0.0,0.0,0.015024494254786108,0.013261711058992796,0.0,0.0047890287694321515
parrotfish,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kingfisher,0.06763187612415367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07409350848411528,0.07708916476491817,0.0,0.0,0.0,0.07550029814118175,0.0,0.01962098983429126
insect,0.02390614045723664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026506226088188718,0.0,0.0,0.0,0.0,0.02694211899922326,0.0,0.005156965702976575
frog,0.0027114422440229703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0028112985376431148,0.0,0.0,0.0,0.0,0.0028555654074571835,0.0,0.0005585537459415512
bird,0.164633351107484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1743017236926515,0.176718159473238,0.20746182289953963,0.0,0.18871062637976171,0.17611390615323566,0.21210486453728636,0.08666963028287979
parakeet,0.019696916559337696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020300556096826423,0.02251649560085865,0.0,0.0,0.0,0.02309350946166056,0.0,0.005707165181245555
shark,0.0013485486162237643,0.0,0.0,0.0,0.0,0.0,0.0,0.001970382525169978,0.0013990040723756596,0.0,0.0,0.0,0.0,0.0014250429636663933,0.0,0.0004095318784957197
peacock,0.013270097642661825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015148276017097414,0.01769545931771566,0.0,0.0,0.0,0.015723754262901134,0.0,0.004122505816025069
