,animal,fruit,plant,blue,vegetable,measure,relation,fish,object,bird,communication,vehicle,food,all,female,mean
mussel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
budgie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scorpion,0.002312717099822659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021265074458805583,0.0,0.0,0.0,0.0,0.0021189139050115055,0.0,0.0004372092300476482
fish,0.00032678058269802046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00030977018626118194,0.0,0.0,0.0,0.0002967526030552747,0.0003103947071341343,0.0,8.29132052765741e-05
parrotfish,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kingfisher,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
insect,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
frog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bird,0.0004951366581392603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00047078819010802164,0.0,0.0,0.0,0.00042439230226808757,0.0004693370744330713,0.00035000802728925144,0.00014731081681584616
parakeet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shark,0.002457799744184841,0.0,0.0,0.0,0.0,0.0,0.0,0.0030869849799502907,0.0022898945359106928,0.0,0.0,0.0,0.0,0.002301398334357348,0.0,0.0006757385062935449
peacock,0.0008957570630369846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009183240279164232,0.0,0.0,0.0,0.0,0.0009404946297297459,0.0,0.00018363838137887693
parrot,0.005087447438803334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004493400031121902,0.006115171832505496,0.0,0.0,0.0,0.004726058966336031,0.0,0.0013614718845844508
starling,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fox,0.002486603929649496,0.0,0.0,0.0,0.0,0.0,0.002661165168431667,0.0,0.0023320586698319314,0.0,0.0,0.0,0.0,0.0023599737884546427,0.0,0.0006559867704245159
cockroach,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
beetle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
giraffe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
