,cold,all,relation,object,communication,measure,mean
vinyl,0.0011621126086725428,0.001134459438606149,0.0,0.0,0.0,0.0,0.00038276200787978193
people,0.001894162388880686,0.0018606242200989553,0.0,0.0,0.0,0.0,0.0006257977681632735
icicle,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sky,0.0039476895251262835,0.003622130565887276,0.0,0.0,0.0,0.0,0.0012616366818355932
slime,0.0,0.0,0.0,0.0,0.0,0.0,0.0
snowfall,0.06470641173524747,0.061150264107417855,0.0,0.0,0.0,0.0,0.02097611264044422
river,0.0034236787231123524,0.0031033952011934375,0.0,0.0,0.0,0.0,0.001087845654050965
flame,0.009713906549619893,0.007146029608417088,0.0,0.0,0.0,0.0,0.0028099893596728303
tummy,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lightning,0.002873418348127708,0.00233897041232261,0.0,0.0,0.0,0.0,0.000868731460075053
hatred,0.0016618470226121638,0.0012278494413751808,0.0,0.0,0.0,0.0,0.00048161607733122414
lemonade,0.0,0.02117725317159757,0.021827243388159626,0.0,0.0,0.0,0.007167416093292866
glass,0.0,0.002364201530891616,0.0,0.002473589467136996,0.0,0.0024664505065026526,0.0012173735840885441
cream,0.0,0.007134744553438018,0.0,0.007053421160289833,0.0,0.0,0.0023646942856213084
toilet,0.0,0.005861122341362925,0.0,0.006375101328054088,0.0,0.0,0.002039370611569502
rain,0.0,0.037120256746247485,0.040851754528060134,0.0,0.0,0.0,0.012995335212384601
pie,0.0,0.0023846175079117763,0.0,0.0,0.0,0.0,0.0003974362513186294
berry,0.0,0.0003830279622304336,0.0,0.00042563415265405957,0.0,0.0,0.00013477701914741552
casserole,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eggshell,0.0,0.0,0.0,0.0,0.0,0.0,0.0
soup,0.0,0.022899441906315463,0.02557589031420721,0.0,0.0,0.0,0.00807922203675378
juice,0.0,0.003679760651626321,0.003793937398287136,0.0,0.0,0.0,0.001245616341652243
shelf,0.0,0.002401108029716016,0.0,0.002400131254074585,0.0,0.0,0.0008002065472984335
snowdrift,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oven,0.0,0.0052510097354026425,0.0,0.005392792967124037,0.0,0.0,0.00177396711708778
freezer,0.0,0.023134570429068683,0.0,0.02622400851592072,0.0,0.0,0.008226429824164902
tea,0.0,0.012004188623608957,0.013405269572250324,0.012076516344709635,0.0,0.0,0.006247662423428152
vapor,0.0,0.010183051474789024,0.01245620496748175,0.0,0.0,0.0,0.0037732094070451285
balloon,0.0,0.0023682054800462623,0.0,0.0023596340581019887,0.0,0.0,0.0007879732563580419
toe,0.0,0.0007863972930810087,0.0,0.0008617451628473903,0.0,0.0,0.0002746904093213998
fridge,0.0,0.0,0.0,0.0,0.0,0.0,0.0
snowbank,0.0,0.0,0.0,0.0,0.0,0.0,0.0
foam,0.0,0.0030393709808264444,0.0035644592796666994,0.0,0.0,0.0,0.0011006383767488573
kettle,0.0,0.0034275690929276843,0.0,0.003719178140557031,0.0,0.0036928795256696728,0.0018066044598590647
skin,0.0,0.009925910117011131,0.010739523382604524,0.010244517078115344,0.0,0.0,0.005151658429621834
snowfield,0.0,0.009235962250562425,0.0,0.008362698885239673,0.0,0.0,0.00293311018930035
sundae,0.0,0.007231110960598578,0.0,0.0,0.0,0.0,0.001205185160099763
curd,0.0,0.005437464766612502,0.0,0.0,0.0,0.0,0.0009062441277687504
permafrost,0.0,0.03281054838563705,0.0,0.03270007519552513,0.0,0.0,0.010918437263527031
water,0.0,0.04349016290070312,0.0479206019799275,0.04514918361787166,0.0,0.0,0.022759991416417047
iceberg,0.0,0.0056054755496777854,0.0,0.00577554421500421,0.0,0.0,0.0018968366274469994
ice,0.0,0.011403104413666543,0.0,0.012066796632764174,0.0,0.0,0.003911650174405119
finger,0.0,0.0071699490419471715,0.0,0.007498368498633848,0.0,0.007906600361486514,0.003762486317011255
candle,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nose,0.0,0.005590747457189322,0.0,0.0057537245932883525,0.006637339826978346,0.00562902407537567,0.003935139325471949
soda,0.0,0.002216205053253416,0.0025727524852569676,0.0,0.0,0.0,0.0007981595897517306
shoe,0.0,0.004467668322285931,0.0,0.004863805761351249,0.0,0.0,0.0015552456806061966
drink,0.0,0.025963655132745074,0.02782010701544559,0.0,0.0,0.025416314748921698,0.013200012816185394
mug,0.0,0.02193264279467074,0.0,0.02269781201805435,0.0,0.022026965363511515,0.011109570029372767
puddle,0.0,0.001411524448915137,0.0,0.0017560711027878445,0.0,0.0,0.0005279325919504969
dogwood,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bottle,0.0,0.008814424775422984,0.0,0.008855321116322016,0.0,0.009116990019100957,0.004464455985140992
rock,0.0,0.004690772445897211,0.005057142092558647,0.004610965845035193,0.00505003087966563,0.0,0.003234818543859447
beer,0.0,0.019253443797124875,0.022067790955955683,0.0,0.0,0.0,0.006886872458846759
snow,0.0,0.05565015255932048,0.0,0.05445160616575017,0.0,0.0,0.01835029312084511
mud,0.0,0.004491444837237268,0.00562511126207296,0.0,0.005219024113230845,0.0,0.0025559300354235123
can,0.0,0.007096487205921184,0.0,0.006972694408587857,0.007275585397242072,0.006827696236269381,0.004695410541336749
pavement,0.0,0.0032423716148464237,0.0,0.003507118963175505,0.0,0.0,0.0011249150963369883
winter,0.0,0.059117692175623036,0.0,0.0,0.0,0.07297990735803304,0.02201626658894268
milk,0.0,0.007283820139091748,0.007989612279150049,0.0,0.0,0.0,0.002545572069706966
fireplace,0.0,0.0036683697530185263,0.0,0.003963209075077603,0.0,0.0,0.001271929804682688
surface,0.0,0.008447217583615272,0.0,0.008423661819265151,0.0,0.0,0.0028118132338134038
coffee,0.0,0.008629096030279839,0.009714434751868638,0.008913519246616175,0.0,0.0,0.004542841671460775
hair,0.0,0.0022077556209191117,0.0,0.002375687925432802,0.0,0.0022909438393785573,0.0011457312309550785
tortilla,0.0,0.0,0.0,0.0,0.0,0.0,0.0
growler,0.0,0.0,0.0,0.0,0.0,0.0,0.0
